관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2020-05-11,20.8,13.3,29.8,21.8,7.7,8.5,3.9,3.1,31.0
2020-05-18,18.4,15.4,22.1,21.2,7.7,8.7,2.1,4.2,106.0
2020-05-25,20.8,16.3,27.0,22.9,8.1,9.0,2.4,5.0,190.0
2020-06-01,23.9,17.8,31.2,24.3,8.3,8.9,1.9,10.2,705.0
2020-06-08,23.8,15.7,31.8,26.7,8.7,8.9,2.5,11.7,1295.0
2020-06-15,25.4,19.5,32.2,26.7,7.2,7.7,6.8,5.7,1654.0
2020-06-22,23.4,15.8,30.6,26.5,7.9,8.2,5.6,12.0,2506.0
2020-06-29,22.7,19.5,27.5,26.9,8.1,8.2,4.4,16.3,4619.0
2020-07-06,23.4,20.2,28.4,26.4,7.9,8.1,5.2,10.3,9017.0
2020-07-16,22.5,18.4,28.5,24.4,7.8,7.7,54.6,3.8,219.0
2020-07-20,26.0,24.0,29.0,24.5,6.9,8.4,15.4,4.5,329.0
2020-07-30,23.5,21.1,30.1,24.1,7.2,8.3,30.2,2.4,69.0
2020-08-03,28.1,25.8,31.1,26.3,7.5,8.1,50.0,2.3,304.0
2020-08-10,26.8,24.3,31.7,,,,,,
2020-08-18,29.3,24.3,36.0,28.6,7.7,8.1,13.1,10.6,270.0
2020-08-25,29.8,23.7,36.2,30.4,8.2,7.9,9.3,21.2,1647.0
2020-08-31,26.0,24.3,28.3,,,,,,
2020-09-07,22.4,19.6,25.4,,,,,,
2020-09-14,22.2,17.9,28.5,24.0,7.0,8.5,14.5,4.1,759.0
2020-09-21,19.0,12.1,25.8,21.5,7.6,8.9,12.0,9.9,725.0
2020-09-28,19.5,14.5,25.5,23.4,8.0,8.8,7.5,16.9,829.0
2020-09-28,19.5,14.5,25.5,23.4,8.0,8.8,7.5,16.9,829.0
2020-10-05,17.2,12.2,22.4,21.1,8.3,10.2,8.3,28.4,587.0
2020-10-12,17.7,12.3,26.1,21.5,9.2,10.1,7.4,45.9,860.0
2020-10-19,15.6,8.4,23.1,20.4,8.4,9.0,3.6,3.0,828.0
2020-10-26,13.0,6.2,22.3,17.5,7.9,8.9,3.1,3.8,928.0
2020-11-02,13.2,6.4,18.9,16.9,8.7,9.9,2.5,1.1,321.0
2020-11-09,9.2,4.0,14.9,13.6,7.1,9.8,2.7,1.4,95.0
2020-11-16,13.7,5.6,22.2,14.9,8.2,9.4,2.3,0.4,131.0
2020-11-23,8.0,3.4,13.2,13.0,8.1,10.7,2.2,1.8,253.0
2020-11-30,5.3,1.1,10.2,9.9,7.1,10.7,2.5,2.3,49.0
2020-12-07,4.7,-1.2,12.3,9.0,7.3,11.0,2.8,5.6,63.0
2020-12-14,-0.4,-3.3,2.5,5.8,7.2,12.3,2.8,8.8,47.0
2020-12-22,2.6,-3.2,8.8,5.9,7.1,12.0,2.8,5.5,46.0
2020-12-28,5.7,2.2,13.4,5.2,7.5,12.5,1.9,5.0,15.0
2021-01-05,1.3,-2.2,6.3,4.0,7.7,13.1,2.5,13.5,17.0
2021-01-11,-1.2,-5.9,3.0,,,,,,
2021-01-18,0.6,-5.2,6.0,,,,,,
2021-01-25,9.7,7.8,13.4,5.6,8.4,13.5,3.4,30.9,0.0
2021-02-02,3.0,-2.2,9.4,4.1,8.3,13.6,3.5,30.2,0.0
2021-02-08,3.7,-0.7,9.0,4.3,8.4,13.4,4.2,42.8,0.0
2021-06-28,24.9,22.0,30.1,26.3,8.8,10.3,3.0,29.6,6411.0
2021-07-05,22.9,21.6,25.3,26.5,8.3,8.4,6.5,24.8,9459.0
2021-07-12,28.4,25.5,33.7,24.8,7.3,7.9,19.5,10.3,195.0
2021-07-19,27.2,23.4,31.9,28.1,7.7,8.4,7.0,17.4,1077.0
2021-07-26,28.4,24.9,33.0,28.8,8.1,8.8,6.1,22.1,7525.0
2021-08-02,29.3,25.5,34.3,30.8,9.2,9.2,6.5,23.3,42385.0
2021-08-09,27.2,23.0,33.6,29.9,9.0,9.0,8.4,52.5,54833.0
2021-08-12,26.8,22.7,32.3,30.3,8.5,8.2,5.2,40.9,31951.0
2021-08-17,23.9,21.1,27.8,27.1,7.6,7.8,5.0,26.3,9971.0
2021-08-19,24.8,21.3,31.2,27.4,8.0,7.8,4.2,23.8,10376.0
2021-08-23,24.1,22.4,27.8,25.4,7.7,7.8,16.0,18.4,22276.0
2021-08-26,27.3,21.9,33.4,,,,,,
2021-08-30,27.3,23.7,32.8,25.1,7.3,8.0,15.8,10.0,320.0
2021-09-02,22.4,20.9,25.6,24.9,7.7,8.3,27.4,16.2,911.0
2021-09-06,22.9,20.9,25.5,22.8,7.4,8.4,12.5,12.7,1387.0
2021-09-13,24.5,22.6,27.2,23.7,7.8,9.3,10.0,25.9,630.0
2021-09-23,22.4,16.8,28.2,23.5,8.2,9.3,7.4,37.3,1365.0
2021-09-27,21.7,19.4,25.8,23.4,8.5,9.8,6.1,42.9,720.0
2021-10-05,24.1,19.6,30.4,24.1,8.6,9.7,4.4,38.6,2028.0
2021-10-12,18.4,17.1,20.5,23.5,8.6,9.4,5.3,44.3,3710.0
2021-10-18,10.9,4.0,19.5,20.9,8.7,10.1,5.8,54.8,3947.0
