관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-2.0,-8.6,7.9,7.7,8.5,12.9,21.1,38.3,33.0
2018-12-17,2.2,-2.7,9.9,4.5,8.2,14.0,4.6,22.7,150.0
2018-12-24,0.2,-5.0,8.0,5.4,7.9,14.3,4.3,26.3,0.0
2019-01-02,-1.6,-7.7,7.8,3.3,7.6,14.0,3.5,17.4,0.0
2019-01-07,-0.8,-8.0,9.2,,,,,,
2019-01-14,0.9,-5.7,10.8,,,,,,
2019-01-21,0.8,-7.8,10.0,4.4,7.8,13.8,3.8,11.2,0.0
2019-01-28,1.9,-4.8,10.9,4.6,7.8,13.8,3.1,14.7,0.0
2019-02-07,5.1,-2.3,11.5,5.6,8.1,14.4,3.4,18.0,0.0
2019-02-11,0.9,-4.3,7.6,4.7,8.1,14.0,4.6,26.6,0.0
2019-02-18,1.9,-5.4,8.4,5.0,8.3,14.1,3.4,26.4,0.0
2019-02-25,6.9,-1.0,16.0,7.6,8.4,13.8,5.4,30.1,0.0
2019-03-04,10.7,4.3,17.7,10.3,8.9,13.8,3.8,31.3,0.0
2019-03-11,6.9,0.8,15.6,9.5,8.8,13.3,7.0,31.7,0.0
2019-03-18,7.8,-1.1,15.5,10.9,9.0,13.6,3.5,40.9,0.0
2019-03-25,6.2,-2.1,14.8,12.0,9.0,13.1,4.1,39.0,0.0
2019-04-01,6.0,-3.5,14.2,12.9,8.7,11.6,3.0,25.9,0.0
2019-04-08,14.7,8.0,23.6,14.6,8.8,10.8,3.1,12.2,0.0
2019-04-22,18.3,10.9,26.9,17.5,8.8,11.1,3.4,12.7,0.0
2019-04-29,10.9,7.5,11.8,15.9,8.0,9.8,2.6,6.4,0.0
2019-05-07,14.6,6.4,23.2,19.3,8.4,10.4,3.2,16.3,0.0
2019-05-13,18.1,7.9,27.8,21.5,8.8,10.1,2.9,10.4,0.0
2019-05-20,18.2,10.3,23.0,21.5,8.1,8.6,3.3,15.5,15.0
2019-05-28,18.0,11.9,25.3,22.2,9.3,8.4,2.8,11.5,106.0
2019-06-03,22.6,13.8,31.5,24.3,9.0,11.2,3.2,35.3,226.0
2019-06-10,19.3,15.0,23.7,23.8,9.0,10.4,4.0,42.7,4275.0
2019-06-17,22.7,17.7,28.3,25.3,9.0,9.6,4.7,30.7,9145.0
2019-06-24,22.7,18.0,29.4,27.4,9.5,11.7,3.6,39.7,19643.0
2019-07-01,24.1,20.5,27.2,24.3,7.5,8.0,8.4,13.1,9253.0
2019-07-09,22.6,18.8,26.2,26.0,8.7,10.7,4.0,37.3,22031.0
2019-07-15,24.0,20.6,29.3,26.3,8.7,9.5,3.3,22.8,17047.0
2019-07-18,22.8,20.8,25.0,25.6,8.4,9.0,6.0,12.0,28215.0
2019-07-22,27.8,23.4,32.8,25.2,7.6,7.5,22.0,12.6,1511.0
2019-07-25,27.2,25.5,30.0,25.3,7.5,8.5,6.1,26.3,15144.0
2019-07-29,28.1,23.7,33.1,27.2,8.3,9.5,4.4,45.5,9715.0
2019-08-01,29.2,23.5,35.4,30.5,9.3,10.8,3.4,54.7,4276.0
2019-08-05,29.0,23.1,36.0,31.2,9.3,10.0,4.8,36.3,13491.0
2019-08-12,28.5,24.5,32.0,30.1,9.2,10.1,7.8,53.1,42157.0
2019-08-16,27.8,24.2,33.2,29.9,8.8,8.8,6.5,38.7,19105.0
2019-08-19,25.8,19.9,32.3,30.2,9.3,10.5,4.9,40.4,46614.0
2019-08-22,26.4,23.2,32.0,28.1,8.8,9.0,8.1,36.8,33758.0
2019-08-26,24.1,18.7,30.7,27.7,8.8,9.8,4.3,51.3,18643.0
2019-08-29,22.5,19.7,24.5,25.8,8.2,8.8,4.8,37.5,33476.0
2019-09-02,20.5,19.1,21.9,24.6,8.1,8.7,3.8,34.0,10718.0
2019-09-05,25.1,22.2,30.0,25.0,7.9,8.6,7.7,23.5,13391.0
2019-09-09,26.1,23.1,31.1,26.1,8.0,8.7,6.7,35.4,4284.0
2019-09-11,25.2,21.2,31.8,25.7,7.9,8.7,7.6,23.3,13514.0
2019-09-16,22.7,17.0,28.6,26.8,9.1,9.9,7.9,40.3,10214.0
2019-09-19,18.8,14.0,26.3,25.2,9.3,11.0,5.1,55.1,13197.0
2019-09-24,17.9,12.6,25.7,20.5,7.6,8.5,38.0,22.0,216.0
2019-09-26,20.4,14.5,28.1,21.8,7.7,8.9,10.3,9.9,224.0
2019-09-30,23.4,20.7,28.4,23.6,8.5,10.1,6.2,30.2,382.0
2019-10-07,15.5,13.9,17.5,19.6,7.3,8.7,24.9,2.7,30.0
2019-10-14,14.9,7.9,24.6,19.4,7.6,9.7,13.6,12.6,16.0
2019-10-21,14.5,9.4,23.0,18.9,7.5,9.7,8.4,13.0,210.0
2019-10-28,9.9,1.9,19.7,17.7,7.7,10.3,6.7,13.7,48.0
2019-11-04,12.3,7.2,18.7,16.6,8.0,10.7,3.9,12.4,286.0
2019-11-11,11.6,5.7,19.3,14.7,8.9,12.9,5.8,65.2,185.0
2019-11-18,12.6,5.7,20.0,12.4,8.3,11.4,3.0,7.5,28.0
2019-11-25,10.3,8.0,15.1,11.1,8.1,11.5,2.2,10.0,617.0
2019-12-02,5.8,1.0,10.0,9.9,8.0,11.8,2.3,11.1,155.0
2019-12-09,0.9,-5.9,11.5,7.7,8.1,12.4,2.1,11.4,138.0
2019-12-16,5.1,-1.5,14.2,6.6,8.5,13.5,2.0,15.7,0.0
2019-12-23,2.4,-4.3,12.4,6.4,8.3,14.0,2.2,21.8,148.0
2019-12-30,5.9,2.3,11.9,5.6,8.2,13.9,1.7,15.3,26.0
2020-01-06,1.1,-3.2,2.8,3.9,8.3,14.1,1.9,14.0,0.0
2020-01-13,2.4,-1.7,7.4,5.2,8.2,13.3,4.5,17.1,0.0
2020-01-20,2.9,-3.4,9.3,4.2,8.4,14.3,4.4,35.4,83.0
2020-01-28,8.0,5.2,11.7,6.0,8.1,13.3,5.0,21.5,59.0
2020-02-03,2.1,-3.4,10.4,6.5,8.4,14.2,5.3,32.4,0.0
2020-02-10,3.7,-2.8,12.8,6.0,8.2,14.9,4.3,43.4,337.0
2020-02-17,0.2,-3.1,3.1,7.0,8.7,14.1,6.6,40.2,308.0
2020-02-25,8.4,7.8,9.1,7.8,7.8,13.1,3.9,19.5,194.0
