관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-2.6,-8.3,4.4,5.3,7.9,13.4,4.1,17.8,0.0
2018-12-17,3.0,-1.5,7.8,4.0,8.1,14.1,4.4,18.5,44.0
2018-12-24,0.5,-3.4,5.3,4.2,8.6,13.8,3.9,15.5,0.0
2019-01-02,-1.7,-6.3,3.7,,,,,,
2019-01-07,0.5,-5.7,5.4,,,,,,
2019-01-14,-0.9,-3.9,4.2,,,,,,
2019-01-21,2.0,-3.9,7.7,,,,,,
2019-01-28,3.4,-0.7,8.5,,,,,,
2019-02-07,3.5,-2.8,8.4,4.7,7.8,14.1,3.9,14.1,0.0
2019-02-11,0.4,-3.2,4.6,3.7,8.2,14.0,4.2,21.2,0.0
2019-02-18,4.1,-1.8,9.6,4.5,7.7,13.3,5.8,28.8,0.0
2019-02-25,8.3,3.6,14.6,6.6,8.1,12.7,10.2,45.1,0.0
2019-03-04,10.9,5.1,16.4,8.7,8.6,14.1,3.0,19.2,0.0
2019-03-11,7.1,1.6,12.9,8.5,8.8,13.6,2.7,11.3,0.0
2019-03-18,7.7,-0.8,15.9,9.1,8.6,12.5,4.0,15.5,0.0
2019-03-25,8.1,-0.2,16.3,9.3,8.2,11.7,3.0,12.8,0.0
2019-04-01,6.7,1.8,11.9,10.2,8.2,11.4,3.1,12.0,0.0
2019-04-08,14.4,7.2,21.1,12.4,8.2,11.1,2.3,14.2,0.0
2019-04-22,19.7,12.4,27.3,16.4,8.1,9.6,2.0,10.9,0.0
2019-04-29,10.0,6.8,11.7,14.9,8.1,10.5,2.8,11.0,0.0
2019-05-07,15.0,6.3,22.7,18.2,8.5,10.5,2.8,12.7,63.0
2019-05-13,19.3,10.5,26.0,19.5,8.2,9.7,2.2,14.1,0.0
2019-05-20,18.2,12.9,21.5,20.0,8.1,8.8,2.9,10.2,0.0
2019-05-29,21.2,11.0,29.5,20.8,8.7,7.9,3.6,8.7,0.0
2019-06-03,23.5,14.9,31.9,22.4,8.3,9.0,3.8,14.9,0.0
2019-06-10,19.1,14.9,24.0,21.8,8.0,8.9,6.1,21.2,0.0
2019-06-17,23.8,19.3,29.5,24.0,8.2,8.1,5.1,11.7,0.0
2019-06-24,24.2,17.7,31.1,25.0,8.5,8.6,3.0,13.5,359.0
2019-07-01,23.6,19.6,27.0,25.0,8.5,8.9,5.3,19.8,798.0
2019-07-09,21.8,17.5,26.0,24.3,8.1,8.0,2.8,11.6,520.0
2019-07-15,22.5,20.4,27.1,24.9,7.8,8.1,2.5,16.1,867.0
2019-07-22,27.2,22.4,32.8,25.6,7.6,8.0,5.9,11.9,61.0
2019-07-29,28.0,23.3,33.2,26.8,7.5,8.8,3.6,26.5,1367.0
2019-08-05,30.2,25.1,35.9,28.9,8.8,8.8,1.9,23.0,5385.0
2019-08-12,29.5,27.8,32.0,28.7,7.9,8.3,2.0,9.5,105.0
2019-08-19,25.7,20.2,30.8,28.6,8.4,7.9,1.2,16.9,2579.0
2019-08-26,24.5,18.7,30.4,26.7,7.9,8.1,2.4,8.1,6280.0
2019-09-02,20.4,19.3,22.1,24.8,7.9,8.5,3.3,7.4,265.0
2019-09-09,24.3,22.5,27.4,24.3,8.0,9.1,3.6,16.5,110.0
2019-09-16,22.2,17.8,28.3,24.6,8.3,8.6,2.1,9.3,133.0
2019-09-24,18.0,13.1,25.5,18.4,7.5,9.6,22.0,4.2,95.0
2019-09-30,22.2,16.5,29.0,21.5,7.9,10.0,6.6,25.0,145.0
2019-10-07,15.0,13.4,16.4,19.4,7.4,9.2,25.5,2.2,22.0
2019-10-14,15.0,9.3,22.2,19.3,7.7,9.7,6.6,15.5,26.0
2019-10-21,14.1,7.9,22.9,17.9,8.3,10.5,3.0,26.5,60.0
2019-10-28,10.5,3.8,18.4,16.7,8.7,11.1,5.8,59.5,86.0
2019-11-04,13.3,8.2,18.9,16.6,8.2,10.6,7.8,35.9,0.0
2019-11-11,12.0,7.7,17.1,13.9,7.7,10.5,9.0,22.0,43.0
2019-11-18,10.0,4.6,15.5,12.0,7.6,11.2,8.4,15.5,61.0
2019-11-25,7.6,5.2,11.9,10.7,8.0,11.2,4.6,7.4,122.0
2019-12-02,4.5,0.4,7.9,8.9,8.4,12.4,3.3,33.3,0.0
2019-12-09,1.0,-4.9,10.1,6.3,8.7,13.1,3.5,20.0,0.0
2019-12-16,5.0,-1.1,12.3,5.9,8.9,13.9,2.1,16.4,0.0
2019-12-23,3.4,-2.3,10.3,5.3,8.5,13.7,2.0,11.8,34.0
2019-12-30,4.5,1.2,9.6,4.5,8.5,14.0,1.9,13.9,0.0
2020-01-06,1.1,-2.1,2.4,3.5,8.5,14.4,2.6,14.4,0.0
2020-01-13,1.7,-1.5,4.8,3.2,7.9,13.9,3.8,13.9,0.0
2020-01-20,4.9,1.8,8.6,3.3,7.7,13.6,4.2,10.9,0.0
2020-01-28,7.3,4.2,10.8,4.5,7.8,13.2,4.2,13.6,43.0
