관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-0.4,-7.5,8.1,10.1,8.7,9.0,2.6,13.3,0.0
2018-12-17,0.4,-5.4,8.2,8.6,8.8,9.4,2.8,14.2,0.0
2018-12-24,1.1,-4.6,6.6,7.9,8.6,9.7,2.5,9.9,0.0
2018-12-31,0.0,-7.4,6.8,6.2,8.8,9.8,2.6,6.3,0.0
2019-01-07,1.0,-5.1,7.1,6.0,8.7,11.0,2.3,5.1,0.0
2019-01-14,3.0,-3.3,11.0,6.6,8.7,11.6,1.6,3.3,0.0
2019-01-21,1.9,-3.4,7.9,4.9,8.9,12.1,2.4,4.5,0.0
2019-01-28,2.5,-5.5,9.3,4.9,8.9,11.8,1.8,3.5,0.0
2019-02-07,4.0,-1.1,10.3,5.0,7.0,12.6,1.7,3.0,0.0
2019-02-11,1.2,-2.1,6.8,4.3,8.2,10.4,1.7,5.8,0.0
2019-02-18,3.7,-5.4,11.4,5.4,8.6,9.2,2.0,4.6,0.0
2019-02-25,7.2,1.0,16.2,7.3,8.9,8.9,1.8,4.7,0.0
2019-03-04,9.2,2.6,15.5,8.2,8.7,7.1,1.9,6.8,0.0
2019-03-11,8.4,0.6,15.6,8.0,9.0,6.5,1.6,5.1,0.0
2019-03-18,8.7,-0.5,17.4,8.3,8.9,6.2,1.7,5.7,0.0
2019-03-25,9.2,0.5,16.6,8.9,8.8,6.1,1.9,7.2,0.0
2019-04-02,6.7,-2.8,15.3,7.5,8.9,8.8,2.2,8.8,0.0
2019-04-08,10.5,2.4,21.9,9.5,8.8,8.7,2.3,10.1,0.0
2019-04-22,15.6,10.0,23.0,16.4,8.6,9.8,2.6,12.1,0.0
2019-04-29,10.6,7.0,12.2,14.3,8.7,11.1,2.4,10.8,0.0
2019-05-07,14.3,4.9,22.9,17.8,8.9,9.2,5.7,5.8,0.0
2019-05-13,17.5,9.8,25.4,20.7,8.8,9.5,5.1,8.2,0.0
2019-05-20,19.3,14.3,24.0,20.0,9.1,9.6,2.6,7.1,0.0
2019-05-27,20.4,18.4,22.6,21.2,8.8,8.0,4.4,8.4,4.0
2019-06-03,23.5,13.5,32.6,23.4,8.9,8.4,3.5,4.7,0.0
2019-06-10,18.2,15.9,22.0,21.5,8.6,9.2,4.4,23.9,0.0
2019-06-17,22.4,15.8,29.8,23.4,8.5,9.2,3.1,9.5,139.0
2019-06-24,21.3,16.1,28.2,24.8,8.9,9.3,2.4,9.2,744.0
2019-07-01,23.3,20.2,27.4,24.2,9.0,9.5,2.3,9.1,1582.0
2019-07-08,21.6,19.5,24.4,14.5,8.8,7.9,1.5,4.5,9.0
2019-07-15,22.7,19.6,27.0,15.6,8.7,7.4,1.5,6.5,21.0
2019-07-22,27.5,22.0,34.0,20.2,8.4,7.4,1.5,22.4,8.0
2019-07-29,28.1,22.9,35.2,22.0,8.7,7.5,3.8,8.3,31.0
2019-08-05,28.1,22.3,35.4,25.3,8.2,6.0,6.4,3.2,39.0
2019-08-12,29.3,24.7,34.3,29.9,8.8,7.2,2.9,8.0,142.0
2019-08-19,25.8,22.9,30.0,23.9,7.9,5.6,4.0,4.2,71.0
2019-08-26,23.8,17.5,31.6,22.7,8.4,6.6,3.3,4.0,63.0
2019-09-02,20.3,19.3,22.5,19.2,7.9,6.2,2.7,3.7,294.0
2019-09-09,26.4,23.0,32.9,25.9,8.1,7.3,2.0,7.6,1397.0
2019-09-16,20.8,16.5,26.4,21.8,8.1,6.7,2.6,2.9,305.0
2019-09-24,17.6,11.7,26.1,21.4,8.5,8.2,12.5,4.1,15.0
2019-09-30,22.7,17.4,30.5,19.5,8.4,8.2,9.4,1.9,26.0
2019-10-08,18.0,13.0,23.7,19.1,8.7,8.4,39.3,2.4,30.0
2019-10-15,13.4,8.4,17.5,18.1,8.2,10.3,28.4,15.1,34.0
2019-10-21,15.1,11.3,22.4,18.3,8.4,7.0,25.4,4.9,5.0
2019-10-28,11.0,2.8,21.2,17.4,8.5,7.3,18.9,2.6,0.0
2019-11-05,10.5,4.0,19.5,16.5,8.9,7.8,14.4,5.5,19.0
2019-11-11,13.4,8.6,18.3,15.5,7.6,9.2,12.3,4.0,0.0
2019-11-19,4.8,0.9,8.6,13.2,8.8,7.9,10.3,3.5,0.0
2019-11-25,8.9,6.9,14.8,13.1,8.9,8.4,8.5,6.6,0.0
2019-12-02,5.2,1.4,7.9,11.7,8.9,8.3,7.7,4.1,0.0
2019-12-09,1.8,-5.2,11.7,10.4,8.2,10.9,8.6,4.3,0.0
2019-12-16,5.4,-2.0,15.2,10.1,9.1,8.6,7.1,2.1,0.0
2019-12-24,4.4,-0.8,12.1,9.0,9.1,10.6,10.1,2.2,0.0
2019-12-30,6.5,2.4,12.5,8.5,9.0,9.7,6.4,2.4,0.0
2020-01-06,2.1,-2.8,4.3,7.1,8.6,9.4,3.8,2.0,0.0
2020-01-13,1.8,-2.0,6.2,6.8,7.7,11.2,4.1,2.4,0.0
2020-01-21,2.4,-2.2,9.4,6.8,9.0,11.0,3.4,2.6,0.0
2020-01-28,7.2,3.6,9.4,6.6,9.5,13.2,4.2,2.7,0.0
2020-02-03,3.1,-2.0,7.9,6.2,9.5,12.7,5.9,2.2,0.0
2020-02-10,4.7,-1.1,11.6,6.6,9.2,12.5,4.8,2.2,0.0
2020-02-17,-0.6,-4.2,2.2,6.2,9.4,13.1,4.6,2.3,0.0
2020-02-24,8.7,-1.7,19.3,7.1,8.9,12.5,2.8,5.2,0.0
2020-03-02,7.2,3.9,11.8,6.9,9.4,13.4,5.3,5.3,0.0
2020-03-09,7.5,-0.5,15.4,8.1,7.1,12.6,3.0,11.7,0.0
2020-03-16,5.9,1.0,12.6,8.4,7.6,13.2,1.8,7.1,0.0
2020-03-23,10.4,1.7,19.4,10.2,7.6,12.3,2.5,9.0,0.0
2020-03-30,9.9,4.3,19.1,11.9,8.9,13.3,2.1,11.5,0.0
2020-04-06,9.8,-1.0,20.1,13.8,8.2,10.8,1.2,2.8,0.0
2020-04-13,9.4,3.6,16.2,11.5,8.9,11.1,1.4,9.5,0.0
2020-04-20,14.0,10.0,20.4,14.1,7.4,11.1,10.2,7.4,0.0
2020-04-27,11.7,3.7,19.7,13.9,8.3,12.4,1.4,8.0,0.0
2020-05-04,19.9,14.1,29.3,20.5,6.4,9.7,2.1,7.3,0.0
2020-05-11,21.0,13.6,28.6,19.5,7.0,11.1,3.6,8.8,0.0
2020-05-18,18.7,16.5,21.3,19.8,8.4,8.2,2.1,5.2,0.0
2020-05-25,20.3,14.2,25.9,22.8,7.7,8.7,2.3,3.8,11.0
2020-06-01,23.5,18.1,29.5,25.0,8.1,7.3,3.8,5.2,15.0
2020-06-08,24.4,14.8,34.2,25.6,8.0,9.7,3.6,6.8,0.0
2020-06-15,25.0,19.1,30.9,24.3,8.0,8.8,3.0,3.5,0.0
2020-06-22,23.2,14.7,32.1,26.9,8.0,9.0,1.5,2.0,0.0
2020-06-29,21.9,18.8,26.3,25.8,8.6,10.5,1.6,11.2,0.0
2020-07-06,22.9,18.6,27.8,25.4,8.2,10.4,1.2,6.8,0.0
2020-07-13,18.7,18.0,19.4,22.6,7.5,10.8,2.4,18.1,12.0
2020-07-20,27.8,25.4,31.0,21.2,7.6,10.3,2.9,5.8,463.0
