관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,1.8,-4.4,8.9,9.2,7.5,10.1,4.4,3.8,0.0
2018-12-18,4.3,0.6,8.7,7.4,7.4,10.4,3.6,8.1,0.0
2018-12-26,6.0,3.0,9.5,6.3,7.7,10.4,3.5,2.9,0.0
2019-01-02,0.5,-3.0,5.4,4.4,7.5,11.6,3.7,2.2,0.0
2019-01-07,2.9,-1.1,7.9,4.4,7.6,11.7,3.4,1.1,0.0
2019-01-14,5.9,1.6,12.2,4.4,7.7,11.9,3.3,2.9,0.0
2019-01-21,2.4,-3.2,9.1,4.1,7.9,11.8,3.2,3.3,0.0
2019-01-28,3.6,-1.0,9.8,4.2,7.9,12.3,3.4,4.6,0.0
2019-02-07,6.6,-0.3,12.4,5.8,8.2,12.3,3.8,5.3,0.0
2019-02-11,1.6,-1.3,5.4,4.7,8.2,12.5,3.8,6.1,0.0
2019-02-18,5.3,0.1,9.8,5.3,7.5,12.5,3.3,6.1,0.0
2019-02-25,8.9,3.9,15.0,6.8,8.1,12.1,4.6,5.4,0.0
2019-03-04,10.0,6.3,14.7,8.1,8.1,11.5,4.6,4.7,0.0
2019-03-11,9.6,3.9,16.6,9.2,8.0,11.4,5.2,5.7,0.0
2019-03-18,10.4,2.8,16.6,9.1,7.8,11.5,6.3,2.8,0.0
2019-03-25,9.6,3.0,16.7,9.7,8.0,10.9,5.5,6.7,0.0
2019-04-02,7.9,1.1,13.6,11.3,8.2,10.7,6.2,6.5,0.0
2019-04-09,9.6,5.2,14.7,12.7,8.2,10.8,6.4,6.6,0.0
2019-04-23,15.4,10.3,21.1,16.5,8.5,10.5,5.5,10.1,0.0
2019-05-02,17.2,12.9,22.5,16.6,8.8,10.3,7.9,13.7,0.0
2019-05-07,14.2,6.6,20.6,16.9,9.2,10.6,5.5,6.6,0.0
2019-05-13,16.5,10.8,22.3,19.1,9.0,9.9,5.1,5.1,0.0
2019-05-20,19.4,14.4,23.8,19.5,8.5,9.1,5.2,9.3,0.0
2019-05-28,18.3,13.7,22.7,21.1,8.8,8.8,4.5,7.8,0.0
2019-06-03,22.3,15.3,29.2,23.2,8.9,8.8,3.4,9.2,161.0
2019-06-10,17.8,14.9,21.3,20.5,8.9,8.7,5.1,10.5,580.0
2019-06-17,21.1,15.6,27.0,22.7,8.6,8.4,4.4,10.7,368.0
2019-06-24,20.1,16.7,24.6,24.5,8.6,8.4,4.6,11.4,439.0
2019-07-01,24.4,21.3,28.4,25.0,8.6,8.7,7.0,19.2,410.0
2019-07-08,21.5,20.2,24.7,23.6,8.8,8.3,4.2,11.4,637.0
2019-07-15,22.3,19.5,26.0,23.0,8.0,8.4,5.1,24.8,353.0
2019-07-22,27.6,22.9,32.7,26.2,8.6,7.8,21.0,11.0,56.0
2019-07-29,28.3,24.8,32.6,27.1,8.6,8.4,7.9,7.8,920.0
2019-08-05,27.7,23.5,32.9,29.6,9.0,8.2,5.1,4.1,70.0
2019-08-12,28.8,25.7,32.9,29.1,8.8,8.5,4.1,17.8,1586.0
2019-08-19,26.1,23.5,29.7,26.4,8.8,7.7,5.7,13.1,963.0
2019-08-26,24.7,20.1,29.1,26.2,7.9,7.7,3.7,24.5,722.0
2019-09-02,20.8,19.9,22.1,23.7,7.9,7.9,4.1,15.7,580.0
2019-09-09,26.9,23.5,31.8,25.9,7.5,6.7,5.1,11.1,198.0
2019-09-16,21.5,17.9,25.7,19.3,7.9,5.2,6.8,16.7,637.0
2019-09-24,18.4,14.1,24.5,21.2,7.8,8.2,9.6,15.1,693.0
2019-10-01,22.5,21.5,24.4,20.9,8.0,8.7,9.1,13.3,919.0
2019-10-07,16.3,13.6,20.9,19.9,7.1,6.9,45.5,5.4,42.0
2019-10-14,16.8,11.3,23.0,19.8,7.5,7.3,17.6,18.5,0.0
