관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,1.8,-4.4,8.9,8.7,7.3,7.6,3.4,1.8,0.0
2018-12-18,4.3,0.6,8.7,7.4,7.3,9.0,3.1,3.5,0.0
2018-12-26,6.0,3.0,9.5,6.6,7.5,9.1,3.1,2.0,0.0
2019-01-02,0.5,-3.0,5.4,4.9,7.6,10.6,4.5,2.0,0.0
2019-01-07,2.9,-1.1,7.9,4.5,7.7,11.2,3.4,1.0,0.0
2019-01-14,5.9,1.6,12.2,4.5,7.5,11.6,2.7,2.7,0.0
2019-01-21,2.4,-3.2,9.1,4.2,7.8,11.9,3.5,4.7,0.0
2019-01-28,3.6,-1.0,9.8,4.4,7.8,12.2,4.4,5.4,0.0
2019-02-07,6.6,-0.3,12.4,5.2,8.0,12.3,3.5,5.6,0.0
2019-02-11,1.6,-1.3,5.4,4.6,8.0,12.5,3.9,5.9,0.0
2019-02-18,5.3,0.1,9.8,5.6,7.6,12.4,3.5,5.1,0.0
2019-02-25,8.9,3.9,15.0,6.4,8.0,12.3,3.4,6.6,0.0
2019-03-04,10.0,6.3,14.7,8.1,8.0,12.0,4.4,4.6,0.0
2019-03-11,9.6,3.9,16.6,8.1,7.8,11.4,4.5,3.6,0.0
2019-03-18,10.4,2.8,16.6,8.7,7.9,11.3,5.8,2.6,0.0
2019-03-25,9.6,3.0,16.7,8.8,7.9,10.6,4.1,4.1,0.0
2019-04-02,7.9,1.1,13.6,9.9,8.1,10.2,4.1,4.3,0.0
2019-04-09,9.6,5.2,14.7,11.7,8.2,10.6,4.6,4.5,0.0
2019-04-23,15.4,10.3,21.1,14.1,8.1,9.6,4.9,5.2,0.0
2019-05-02,17.2,12.9,22.5,15.2,8.5,9.8,5.5,11.1,0.0
2019-05-07,14.2,6.6,20.6,15.6,8.9,9.9,4.6,4.4,0.0
2019-05-13,16.5,10.8,22.3,16.6,8.7,9.5,4.8,3.9,0.0
2019-05-20,19.4,14.4,23.8,17.6,8.5,9.2,3.4,8.4,0.0
2019-05-28,18.3,13.7,22.7,17.7,8.7,8.4,3.4,7.1,0.0
2019-06-03,22.3,15.3,29.2,22.2,8.9,8.4,3.6,8.7,340.0
2019-06-10,17.8,14.9,21.3,16.9,8.5,8.5,3.8,8.2,494.0
2019-06-17,21.1,15.6,27.0,19.9,8.6,8.1,3.3,7.2,593.0
2019-06-24,20.1,16.7,24.6,22.3,8.6,8.3,4.0,8.6,580.0
2019-07-01,24.4,21.3,28.4,22.8,8.7,8.2,4.7,11.4,70.0
2019-07-08,21.5,20.2,24.7,20.9,8.8,8.3,3.8,7.9,595.0
2019-07-15,22.3,19.5,26.0,23.9,8.5,9.3,6.0,91.3,453.0
2019-07-22,27.6,22.9,32.7,23.4,8.2,7.6,17.0,15.9,28.0
2019-07-29,28.3,24.8,32.6,23.7,8.6,8.3,8.3,15.0,495.0
2019-08-05,27.7,23.5,32.9,27.3,8.8,8.1,5.5,4.0,113.0
2019-08-12,28.8,25.7,32.9,26.6,8.7,7.4,4.6,15.7,1445.0
2019-08-19,26.1,23.5,29.7,24.4,8.9,6.8,3.9,12.7,765.0
2019-08-26,24.7,20.1,29.1,24.7,7.8,7.2,3.8,16.5,495.0
2019-09-02,20.8,19.9,22.1,22.1,7.9,8.0,3.8,12.6,835.0
2019-09-09,26.9,23.5,31.8,20.9,7.4,4.4,5.6,6.8,155.0
2019-09-16,21.5,17.9,25.7,19.8,7.7,5.8,4.6,9.8,707.0
2019-09-24,18.4,14.1,24.5,19.7,7.6,7.8,14.9,17.4,211.0
2019-10-01,22.5,21.5,24.4,20.1,7.9,8.2,10.8,5.1,354.0
2019-10-07,16.3,13.6,20.9,20.8,7.3,8.1,36.0,22.1,183.0
2019-10-14,16.8,11.3,23.0,20.3,7.5,7.2,16.8,8.0,0.0
2019-10-21,17.1,12.5,21.4,19.4,7.6,6.6,14.8,5.0,0.0
2019-10-28,13.2,6.0,20.4,17.6,7.4,5.4,10.3,4.7,155.0
2019-11-04,13.4,8.7,17.5,16.9,7.2,6.3,5.2,6.3,113.0
2019-11-11,13.9,9.8,18.7,16.1,7.5,7.3,7.5,4.2,42.0
2019-11-18,12.9,6.0,19.4,15.2,7.6,8.4,6.4,8.0,0.0
2019-11-26,9.5,6.3,12.9,12.9,7.7,7.4,7.2,4.8,0.0
2019-12-02,5.7,1.5,8.5,11.5,7.3,7.7,7.4,3.2,0.0
2019-12-11,11.6,5.2,17.5,9.2,7.7,7.7,7.3,3.1,0.0
2019-12-16,8.5,2.2,14.5,9.2,7.5,8.7,9.7,4.7,0.0
2019-12-23,5.7,0.0,11.1,8.2,7.8,10.3,8.9,5.4,0.0
2019-12-30,8.2,4.4,13.9,8.1,7.9,11.3,8.2,4.2,0.0
2020-01-09,3.9,1.1,7.8,6.8,7.9,11.7,7.0,14.4,0.0
2020-01-14,1.9,-0.6,6.2,5.3,7.6,11.9,7.4,13.4,0.0
2020-01-21,3.1,-1.6,8.6,5.1,7.8,11.9,6.1,16.2,0.0
2020-01-28,7.6,6.3,8.9,5.1,7.8,11.9,7.2,15.4,0.0
2020-02-03,4.2,1.2,8.2,6.3,7.7,12.1,10.7,15.4,0.0
2020-02-10,6.1,1.5,11.9,6.3,7.9,11.9,10.7,10.2,0.0
2020-02-18,0.2,-5.2,6.7,6.8,8.4,12.5,10.0,23.4,0.0
2020-02-24,10.6,2.1,19.0,8.2,8.4,11.4,9.8,9.7,0.0
2020-03-03,6.9,3.0,11.7,8.1,8.0,13.3,9.6,13.7,0.0
2020-03-09,9.2,3.8,13.8,7.9,8.1,12.0,9.7,9.1,0.0
2020-03-16,5.8,0.1,11.8,9.7,8.0,11.8,10.2,10.3,0.0
2020-03-24,10.3,5.4,14.8,9.7,8.0,11.1,8.4,6.7,0.0
2020-03-30,10.4,6.3,15.9,9.3,10.7,8.1,8.1,3.3,0.0
2020-04-07,14.6,8.1,21.1,12.9,7.9,10.5,7.5,5.5,0.0
2020-04-14,14.1,4.1,23.2,12.8,7.8,9.4,7.5,3.7,0.0
2020-04-20,14.5,10.1,20.5,10.4,7.8,8.7,7.1,2.7,0.0
2020-04-27,12.7,6.1,19.3,12.3,7.9,9.6,7.5,5.3,0.0
2020-05-06,16.5,12.4,21.8,15.0,7.7,8.9,7.5,4.9,0.0
2020-05-11,21.7,15.3,28.7,16.1,8.0,8.2,7.1,5.0,0.0
