관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-2.6,-10.6,7.0,9.0,7.6,9.4,1.8,0.8,0.0
2018-12-17,1.3,-3.9,7.8,7.7,7.7,10.1,2.6,1.7,106.0
2018-12-24,0.8,-2.6,6.1,6.7,7.6,10.6,1.6,1.9,436.0
2018-12-31,-2.4,-11.3,6.3,4.4,7.7,11.6,1.6,3.0,0.0
2019-01-07,0.4,-6.7,6.8,4.3,7.7,11.9,1.3,2.6,132.0
2019-01-14,-0.1,-6.4,8.8,6.5,7.8,11.3,1.5,6.0,0.0
2019-01-21,1.5,-3.9,7.6,4.7,7.7,11.9,0.6,1.8,86.0
2019-01-28,3.1,-2.4,9.3,5.1,7.6,11.9,0.8,5.2,515.0
2019-02-07,3.2,-2.2,8.9,5.0,7.8,12.2,2.1,4.4,0.0
2019-02-11,0.6,-3.3,5.6,3.0,8.0,13.2,1.8,7.2,0.0
2019-02-18,4.2,-3.8,10.4,4.7,7.9,12.7,0.9,7.8,0.0
2019-02-25,8.3,1.4,16.3,7.4,7.9,11.8,1.3,5.1,0.0
2019-03-04,9.2,2.8,17.6,7.5,8.4,12.8,3.2,9.5,0.0
2019-03-11,7.5,-0.6,15.3,8.6,8.1,11.7,1.6,7.2,0.0
2019-03-18,7.8,-2.6,17.1,8.4,7.9,11.3,2.2,10.6,0.0
2019-03-25,9.0,0.7,16.4,8.8,8.0,11.2,2.0,12.5,0.0
2019-04-01,6.3,1.3,12.4,8.2,8.2,11.7,1.9,5.9,0.0
2019-04-08,11.2,1.8,22.1,11.9,8.2,10.9,3.5,11.1,0.0
2019-04-22,15.7,9.2,22.7,15.5,8.2,9.8,2.7,8.1,0.0
2019-04-29,10.4,5.8,12.5,13.1,8.2,10.3,1.8,9.7,0.0
2019-05-07,13.8,4.1,23.2,14.6,8.1,9.9,2.8,5.7,0.0
2019-05-13,17.7,8.3,26.1,16.9,8.0,9.1,2.6,4.1,33.0
2019-05-20,18.9,13.6,23.6,17.9,8.0,8.5,2.3,6.4,0.0
2019-05-27,20.6,17.7,23.0,17.9,8.0,8.5,3.6,7.4,0.0
2019-06-03,23.7,13.0,33.2,21.0,8.6,8.3,2.6,19.0,33.0
2019-06-10,18.5,14.4,23.2,21.4,8.0,8.2,2.5,6.1,450.0
2019-06-17,23.3,16.7,30.2,21.2,7.7,8.2,1.8,5.1,0.0
2019-06-24,21.7,15.4,28.6,22.2,7.9,8.1,1.5,1.8,0.0
2019-07-01,23.4,19.4,27.3,21.3,7.7,8.0,0.8,3.0,0.0
2019-07-08,21.7,18.4,26.1,23.0,7.7,7.9,2.7,3.3,145.0
2019-07-15,23.2,20.9,26.4,20.4,7.6,7.4,3.4,5.2,218.0
2019-07-22,28.2,23.1,34.0,23.2,7.6,7.2,28.7,4.8,235.0
2019-07-29,29.0,23.6,34.3,24.3,7.5,7.2,8.8,7.6,0.0
2019-08-05,29.0,23.3,36.5,28.2,7.7,7.7,3.6,5.9,658.0
2019-08-12,30.2,25.4,35.5,23.4,7.3,5.9,6.5,5.8,125.0
2019-08-19,26.0,22.4,31.0,26.5,7.5,6.9,2.3,4.9,1215.0
2019-08-26,24.3,17.5,31.6,25.1,7.3,6.4,3.2,4.7,1333.0
2019-09-02,20.7,19.7,22.7,22.7,7.4,6.9,2.6,4.8,53.0
2019-09-09,26.5,23.5,31.8,24.6,7.4,5.9,3.7,6.6,53.0
2019-09-16,20.7,15.6,27.6,23.8,7.6,6.9,3.7,4.5,773.0
2019-09-23,18.6,16.3,21.9,21.3,7.4,6.5,5.5,3.5,138.0
2019-09-30,22.8,16.0,30.9,23.4,7.6,7.0,5.6,6.7,0.0
2019-10-07,15.2,12.1,18.8,19.6,7.4,6.0,39.5,5.2,0.0
2019-10-14,14.8,7.0,23.2,19.8,7.6,8.7,14.8,9.4,0.0
2019-10-21,14.5,10.2,22.4,19.2,7.6,8.0,10.0,4.0,0.0
2019-10-28,9.6,1.0,19.3,19.2,7.4,7.8,14.4,2.4,30.0
2019-11-04,12.8,5.5,18.1,16.8,7.6,7.6,7.3,4.1,0.0
2019-11-11,12.6,8.8,17.7,16.2,7.8,5.2,6.4,2.7,0.0
2019-11-18,10.9,4.4,20.1,14.1,7.6,7.6,6.1,2.6,0.0
2019-11-25,9.1,6.8,13.5,12.7,7.7,9.0,5.7,2.8,0.0
2019-12-02,4.6,0.5,7.9,11.7,7.7,9.2,4.6,3.2,0.0
2019-12-09,0.4,-7.4,10.9,8.7,8.1,10.7,5.7,2.8,0.0
2019-12-16,5.0,-2.8,14.0,9.1,7.7,9.9,6.0,2.3,0.0
2019-12-23,1.6,-5.3,11.3,9.2,8.0,10.0,5.8,2.4,0.0
2019-12-30,5.3,2.0,11.6,8.2,7.9,10.0,3.4,1.8,0.0
2020-01-06,1.1,-3.6,3.6,5.3,8.0,11.4,1.7,2.3,0.0
2020-01-14,1.1,-1.6,6.3,6.5,7.9,10.5,1.2,3.1,0.0
2020-01-20,4.3,1.5,8.5,6.2,8.0,10.8,1.0,2.0,0.0
2020-01-28,6.9,4.5,10.4,7.4,7.9,9.7,2.2,3.0,0.0
2020-02-03,3.2,-1.0,8.1,5.1,8.0,12.2,1.7,2.0,0.0
2020-02-10,4.8,-1.7,11.9,6.7,8.0,11.2,1.5,2.5,0.0
2020-02-17,-1.7,-4.6,1.7,5.0,8.1,10.8,0.9,5.0,0.0
2020-02-24,5.9,-4.3,17.2,6.8,8.0,11.7,1.7,4.5,0.0
2020-03-02,,0.5,11.3,9.1,7.7,11.3,3.5,8.8,0.0
2020-03-09,7.7,-0.6,15.2,7.7,8.1,12.1,8.1,20.3,0.0
2020-03-16,5.0,-1.4,11.6,10.2,8.2,11.5,3.2,28.2,0.0
2020-03-23,9.3,-0.4,19.1,11.4,9.1,11.7,5.6,34.1,0.0
2020-03-30,9.9,3.9,17.9,12.8,8.2,10.8,2.7,19.4,191.0
2020-04-06,9.3,-1.7,18.9,10.3,7.9,11.8,2.6,9.0,0.0
2020-04-13,9.1,2.6,15.9,12.5,8.0,10.8,2.7,5.0,0.0
2020-04-20,12.8,9.2,19.2,15.3,7.6,9.6,2.5,4.4,0.0
2020-04-27,11.0,2.4,19.4,13.6,7.6,10.3,3.5,6.4,0.0
2020-05-04,19.8,13.5,28.5,16.5,7.7,9.7,5.0,6.9,0.0
2020-05-11,20.5,13.7,27.9,15.2,7.4,9.5,4.8,1.3,0.0
