관측일,평균기온,최저기온,최고기온,수온(℃),pH,DO(㎎/L),탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖)
2018-12-10,-1.9,-8.3,8.3,9.1,7.6,9.9,3.2,6.3,0.0
2018-12-17,2.2,-0.9,10.1,7.6,7.4,10.1,3.3,4.4,0.0
2018-12-24,1.3,-4.4,8.9,7.3,7.8,10.1,2.5,1.7,0.0
2018-12-31,-1.0,-8.4,8.3,5.4,7.9,11.1,3.6,2.3,79.0
2019-01-07,-0.2,-7.9,9.1,4.9,7.7,11.1,1.6,1.2,469.0
2019-01-14,1.1,-5.6,11.3,4.8,7.8,11.0,1.7,1.8,119.0
2019-01-21,-0.4,-7.7,9.1,4.5,7.7,11.3,1.8,0.4,0.0
2019-01-28,1.6,-5.8,10.9,4.3,7.9,11.7,2.3,1.9,0.0
2019-02-07,5.4,0.7,11.6,4.8,8.0,11.8,1.5,2.0,0.0
2019-02-11,1.3,-3.6,7.3,4.7,7.7,11.9,2.0,2.6,0.0
2019-02-18,2.2,-4.4,7.5,5.1,7.8,12.1,1.6,2.7,0.0
2019-02-25,6.7,-1.7,17.5,5.7,7.8,11.8,1.5,3.9,0.0
2019-03-04,10.4,4.3,17.2,7.3,8.5,11.9,2.2,2.4,0.0
2019-03-11,6.6,0.6,15.3,8.6,8.1,11.0,1.9,3.1,0.0
2019-03-18,7.9,-0.9,14.8,9.1,8.1,10.8,2.4,1.8,0.0
2019-03-25,5.7,-1.8,13.1,10.3,8.1,10.5,2.1,3.6,0.0
2019-04-01,6.2,-2.1,13.4,10.9,7.8,10.2,2.6,3.0,0.0
2019-04-08,14.3,8.8,21.6,12.5,7.8,10.1,1.4,2.0,0.0
2019-04-22,17.6,10.5,26.0,14.3,8.0,9.6,1.2,1.6,0.0
2019-04-29,11.0,9.3,11.8,15.4,7.6,8.9,2.5,1.7,0.0
2019-05-07,14.8,6.9,22.2,16.1,7.6,7.3,1.5,1.8,0.0
2019-05-13,17.6,8.3,25.4,17.8,8.0,8.8,1.7,3.6,0.0
2019-05-20,18.1,10.6,22.9,17.6,7.6,5.3,1.9,4.9,0.0
2019-05-28,18.7,11.7,26.6,19.9,7.9,6.6,3.2,4.3,0.0
2019-06-03,21.6,12.8,30.3,20.0,8.0,6.9,9.1,14.2,0.0
2019-06-10,19.1,15.8,23.1,21.1,8.4,6.9,2.7,7.5,42.0
2019-06-17,21.9,18.1,26.9,22.3,7.9,5.8,8.2,4.6,28.0
2019-06-24,21.9,17.1,27.7,23.1,7.9,5.4,8.3,4.1,382.0
2019-07-01,23.8,20.8,26.2,22.6,7.5,7.2,15.8,7.7,141.0
2019-07-08,23.2,17.7,28.0,23.6,8.3,7.4,8.5,9.0,495.0
2019-07-15,24.1,20.7,28.9,23.8,8.1,5.3,7.9,7.4,28.0
2019-07-23,27.4,23.7,32.1,20.3,7.2,8.0,22.1,5.1,0.0
