관측일,평균기온,최저기온,최고기온
20181210,-0.4,-7.5,8.1
20181211,1.5,-2.1,4
20181212,1.4,-.7,4.1
20181213,1.3,-5.3,7.3
20181214,-0.4,-3.7,4.3
20181215,-0.5,-7,8.6
20181216,-0.9,-4.6,3.8
20181217,0.4,-5.4,8.2
20181218,2.4,-2.4,9.4
20181219,5.8,-4,13.3
20181220,3.8,-1.8,11.3
20181221,4.3,-3.2,15.5
20181222,6.2,-1,15.2
20181223,7.5,3,11.9
20181224,1.1,-4.6,6.6
20181225,0.7,-5.5,6.5
20181226,4.4,1.4,8.7
20181227,-2.1,-7,2.3
20181228,-5.5,-8.8,-1.4
20181229,-4,-7.2,.7
20181230,-2.8,-6.7,3.6
20181231,0,-7.4,6.8
20190101,-0.5,-2.8,3.9
20190102,-0.1,-6,5.1
20190103,-0.3,-5.6,6.6
20190104,0.3,-8.1,9.2
20190105,3,-3.8,7.9
20190106,0.6,-5.2,8.5
20190107,1,-5.1,7.1
20190108,1.8,-2,6.4
20190109,-1.2,-5,5.8
20190110,2.5,-4,8
20190111,3.2,-2.7,10.2
20190112,3.4,1,5.4
20190113,4.1,-1.1,10.7
20190114,3,-3.3,11
20190115,3,-1.6,8.3
20190116,-1.4,-5.7,3.2
20190117,2.3,-1.7,6.1
20190118,2.2,-3.5,9.4
20190119,4.9,-2,14.2
20190120,3.5,-1.3,8.4
20190121,1.9,-3.4,7.9
20190122,3.1,-3.8,11.3
20190123,4.2,-3.7,10.7
20190124,2.4,-4.9,10.8
20190125,1.9,-3.3,7.2
20190126,0,-3.7,4.4
20190127,0.2,-8.3,10.9
20190128,2.5,-5.5,9.3
20190129,1.5,-6.1,10.9
20190130,5.6,-2.7,14.1
20190131,2,-2.5,7.7
20190201,0,-4,4.9
20190202,2.4,-4.8,9.7
20190203,7.2,2,15.7
20190204,4.7,0,8.6
20190205,3.8,-4.5,13.5
20190206,5.9,-1.9,16.5
20190207,4,-1.1,10.3
20190208,0.1,-3.5,6.7
20190209,0.6,-1.6,3.6
20190210,1.2,-3.1,5.2
20190211,1.2,-2.1,6.8
20190212,1.8,-2.8,7.3
20190213,3,-.5,7.2
20190214,1.3,-2.4,4.9
20190215,3.2,-2.7,11
20190216,1.6,-1.6,4.4
20190217,0.8,-3.6,8
20190218,3.7,-5.4,11.4
20190219,4.3,2.3,6.5
20190220,4.1,.5,8.2
20190221,3.9,-2.6,11.9
20190222,5.1,-.8,13.9
20190223,4.4,-1.3,12.2
20190224,5.4,-3,15.9
20190225,7.2,1,16.2
20190226,6.9,-.2,15.4
20190227,8.7,3.9,14.9
20190228,8.3,4,13.8
20190301,6.8,-.6,15.5
20190302,6.5,-1.2,14.9
20190303,8.8,2.3,15.3
20190304,9.2,2.6,15.5
20190305,8.9,-.2,17.4
20190306,8.7,4.9,13.8
20190307,6.4,1.5,12.5
20190308,6.9,-1.4,17.1
20190309,9.6,-.5,18.9
20190310,8.3,6,11.1
20190311,8.4,.6,15.6
20190312,9.2,1.8,16.5
20190313,5.1,.7,10.3
20190314,6.1,-.8,13.2
20190315,5.6,-.5,14.2
20190316,7.3,3.1,13.5
20190317,8,2,14.6
20190318,8.7,-.5,17.4
20190319,12,2.7,21.2
20190320,12.1,4.6,19.8
20190321,15,7.2,19.2
20190322,8,3.9,13.4
20190323,6.2,3.1,13.2
20190324,6.2,-1.5,14.2
20190325,9.2,.5,16.6
20190326,11,2.8,19.9
20190327,15.6,2.2,23.4
20190328,10.7,9.4,14.3
20190329,12.1,5.8,19.8
20190330,10,5.7,15.3
20190331,6.9,4.2,11.8
20190401,6.2,.8,12.1
20190402,6.7,-2.8,15.3
20190403,8.3,-1.7,16.2
20190404,13.6,5.7,21.4
20190405,16.1,7.4,22.4
20190406,14.2,6.5,22.7
20190407,11.1,6.6,16.8
20190408,10.5,2.4,21.9
20190409,8,.9,15.7
20190410,8,6.1,10.3
20190411,9.4,4.7,14.6
20190412,10.8,5.1,18.8
20190413,12.2,3.3,20.7
20190414,12.2,7.5,16.9
20190416,15,3.2,26.6
20190417,16.3,8.5,25.9
20190418,17.6,7.6,27.3
20190419,11.6,8.1,15.7
20190420,14.8,6.9,23.9
20190421,16.6,9.8,25.8
20190422,15.6,10,23
20190423,15.2,9,23.2
20190424,18,14.8,23.2
20190425,13.1,9.9,16.1
20190426,9.6,8,11.1
20190427,11.6,4.9,18.7
20190428,12.2,7.5,20.2
20190429,10.6,7,12.2
20190430,14.1,11.3,19
20190501,16.4,11.2,24.1
20190502,16.8,8.3,25.8
20190503,16.8,7.5,26.1
20190504,17.8,8.3,28.4
20190505,20,11.1,29.8
20190506,13.4,8.1,17.6
