관측일,평균기온,최저기온,최고기온
20181210,-2.6,-8.3,4.4
20181211,-0.4,-3.8,2.4
20181212,-0.5,-5.2,3
20181213,-0.7,-5.9,5.8
20181214,-1.3,-4.7,3.6
20181215,-2.5,-8.6,4.7
20181216,-0.6,-4.5,2.5
20181217,3,-1.5,7.8
20181218,2.7,-2.4,9.4
20181219,4.6,-1.8,13
20181220,3.3,-1.2,9.3
20181221,3.1,-3.2,10.9
20181222,5.6,-.4,13.5
20181223,7,1.7,11.2
20181224,0.5,-3.4,5.3
20181225,-0.3,-5.2,5
20181226,3.5,.8,8.4
20181227,-3.5,-7.2,.9
20181228,-5.9,-8.5,-2.5
20181229,-4.1,-7.4,-.2
20181230,-3.9,-7.1,1.3
20181231,-3.3,-10.4,4.3
20190101,-0.9,-3.8,2.4
20190102,-1.7,-6.3,3.7
20190103,-1.1,-6.3,5.2
20190104,-0.6,-7.5,6.7
20190105,0.9,-4.8,5.9
20190106,-1,-6.2,6.6
20190107,0.5,-5.7,5.4
20190108,0.9,-2.6,4.8
20190109,-2.6,-7,2.7
20190110,0.7,-3.9,5.7
20190111,2,-3.3,7.5
20190112,2.8,-1.2,6.8
20190113,0,-2.3,6
20190114,-0.9,-3.9,4.2
20190115,1.9,-3,7.3
20190116,-2.2,-5.4,2.8
20190117,1.8,-2.5,4.8
20190118,1.4,-4,8.6
20190119,3.1,-1.6,8.7
20190120,3.6,-1.4,6.6
20190121,2,-3.9,7.7
20190122,4.4,-1.8,10.5
20190123,3.8,-1.6,10.5
20190124,1.8,-3.6,9
20190125,0.7,-3.6,5.9
20190126,-0.5,-5.2,4.2
20190127,0.3,-7.2,7.9
20190128,3.4,-.7,8.5
20190129,0.2,-6.1,8.5
20190130,4.1,-3.1,11.5
20190131,1.8,-2.8,6.1
20190201,-0.3,-5.4,4.7
20190202,2.2,-5,9.6
20190203,4.4,2.6,8.6
20190204,3.9,0,7.7
20190205,2.2,-4.6,10.7
20190206,5.3,-2,13.7
20190207,3.5,-2.8,8.4
20190208,-0.7,-4.4,4.5
20190209,-0.1,-2.3,3
20190210,-0.2,-5.3,4.2
20190211,0.4,-3.2,4.6
20190212,0.6,-5.6,6.5
20190213,1.9,-1.4,6.5
20190214,2.2,-2.3,7.8
20190215,3.4,-.5,8.8
20190216,0.6,-2.5,3.4
20190217,1.2,-3.6,7.6
20190218,4.1,-1.8,9.6
20190219,3.5,2,6.1
20190220,3.7,.9,7.3
20190221,3.3,-2.2,9.9
20190222,4.4,-1.4,12
20190223,5.6,-1.3,14.3
20190224,6.4,-1.6,15.4
20190225,8.3,3.6,14.6
20190226,6.3,-.8,14.2
20190227,7.8,4.1,12.4
20190228,8.7,3.5,14.7
20190301,8,1.9,14.6
20190302,7.4,-1.1,15.3
20190303,9.2,1.9,15.1
20190304,10.9,5.1,16.4
20190305,9.5,2.1,15.4
20190306,11.2,7.7,15.7
20190307,8.9,6,13.3
20190308,7.8,0,16.8
20190309,8.5,-.6,17
20190310,8.2,4.8,11.6
20190311,7.1,1.6,12.9
20190312,7.5,1.4,15.1
20190313,5.1,.9,10.4
20190314,5.7,-2.2,13.1
20190315,6.9,2.7,13.3
20190316,6.9,2.6,13.4
20190317,7.9,2.5,13.6
20190318,7.7,-.8,15.9
20190319,12.2,2.4,20.9
20190320,12.3,5.9,18.5
20190321,11.9,5.4,15.3
20190322,6.6,3.4,12.3
20190323,5.2,1.4,13
20190324,5.9,-1.8,12.7
20190325,8.1,-.2,16.3
20190326,11,2.6,19.5
20190327,13.7,3.1,23.9
20190328,14.2,8.3,20.4
