관측일,평균기온,최저기온,최고기온
20181210,-1.7,-8.3,6.3
20181211,0.2,-3.3,1.8
20181212,0.9,-1.8,3.5
20181213,1,-4,6.8
20181214,-0.7,-3.7,3.9
20181215,-1.3,-7.9,6.5
20181216,-0.9,-3.2,1.8
20181217,2.4,-2.5,7.6
20181218,3.8,-1.1,8.7
20181219,5,-1.6,13.1
20181220,4.3,0,9.5
20181221,4.5,-2.6,12.4
20181222,6.8,0,14.5
20181223,7.4,2.7,11.6
20181224,1.6,-1.3,5.5
20181225,0.5,-4.6,5.6
20181226,4.1,1.3,8.9
20181227,-3,-7.4,1.6
20181228,-5.8,-8.8,-2.2
20181229,-4.3,-7.3,-.7
20181230,-3.5,-6.8,1.6
20181231,-1.4,-8.3,5.6
20190101,-0.7,-3,3.4
20190102,-0.5,-4.2,4.2
20190103,0,-3.6,6.1
20190104,0.5,-6.8,7.2
20190105,2.4,-3.8,7.5
20190106,0.4,-5,7.3
20190107,0.9,-5.6,6.1
20190108,1.4,-2,5.1
20190109,-1.3,-5.6,4.3
20190110,1.5,-2.8,5.7
20190111,2.8,-3.3,8.3
20190112,3.4,-.9,6
20190113,1.7,-2.9,9.4
20190114,1.9,-3.9,9.2
20190115,2.8,-2.5,7.7
20190116,-1.9,-5.5,2.6
20190117,1.4,-2.7,5.7
20190118,2.6,-2.9,8.9
20190119,4.3,-1.3,10.2
20190120,3.6,-1.4,6.9
20190121,1.7,-3.4,8.2
20190122,3.8,-2.4,9.7
20190123,4.1,-3,11.1
20190124,3.1,-3.3,9.7
20190125,1.1,-3.2,6.7
20190126,-0.3,-3.5,4.6
20190127,0.6,-7.2,8
20190128,3,-1.9,8.7
20190129,1.6,-5.4,9.2
20190130,5,-2,12.5
20190131,1.9,-2.3,6.8
20190201,-0.1,-4.4,4.9
20190202,2.9,-3.3,8.8
20190203,5,1.7,8.5
20190204,4.4,.2,7.9
20190205,3.1,-4.2,11.2
20190206,6.4,-1,15
20190207,4.3,-1.7,8.7
20190208,-0.1,-4,5.3
20190209,0.2,-1.5,3
20190210,0.8,-4.5,4.5
20190211,0.7,-2.9,4.7
20190212,1.2,-4.7,6.5
20190213,2.7,-1.2,6.2
20190214,2,-1.3,6.5
20190215,4,.7,9.9
20190216,1.2,-1.4,3.4
20190217,1.6,-3.2,7.6
20190218,4.5,-1.8,9.2
20190219,3.7,1.6,6.3
20190220,3.9,1.3,7.4
20190221,3.8,-2.4,10.2
20190222,5.9,-.3,12.4
20190223,5.7,-.7,12.6
20190224,6.9,-1.2,15.7
20190225,9,3.6,15.2
20190226,7.8,1.2,14.5
20190227,9.1,6.3,13.3
20190228,9.2,3.9,15.4
20190301,8.4,2.2,15.3
20190302,7.8,.4,15
20190303,10,4.4,15.2
20190304,10.8,5.9,16.9
20190305,9.9,2.3,16.2
20190306,11.2,8.8,14.8
20190307,8.9,5.3,12.5
20190308,8.5,.5,16.2
20190309,10.6,1.9,18.1
20190310,8.6,6.3,11.9
20190311,8.2,2.1,14.4
20190312,8.4,1.7,16
20190313,5,1,10
20190314,6.5,-1.5,13.2
20190315,7,4,13.3
20190316,7.4,3,13.2
20190317,8.5,4.3,14.1
20190318,8.8,.6,16.9
20190319,13.4,4.3,21.2
20190320,12.6,7,18.1
20190321,13.7,6.4,18.2
20190322,7.3,3.7,12.9
20190323,5.9,3.1,13.1
20190324,6.7,-.3,13.7
20190325,8.9,1.1,15.6
20190326,11.7,3.6,19.9
20190327,14.7,4.6,24.2
20190328,12.4,8.3,16.2
20190329,12.4,6.3,19.4
20190330,9.4,5.1,14.3
20190331,6.8,4.5,11.1
20190401,7,2.4,11.8
20190402,8.2,.2,14.8
20190403,9.7,1.8,16.3
20190404,13,5.9,21.5
20190405,15.2,7.6,22
20190406,15.8,7.4,23.8
20190407,13.2,9.6,18.5
20190408,13.2,6.5,21.4
20190409,9.2,5.2,15.7
20190410,7.8,5.1,10
20190411,10.4,5.9,15.1
20190412,12.8,6.9,19.6
20190413,13.2,5.5,20.5
20190414,12.6,9.3,16.6
20190416,16.8,7.3,25.3
20190417,17.9,11.8,24.5
