관측일,평균기온,최저기온,최고기온
20181210,1.7,-4.9,9.7
20181211,5.5,1.7,8.2
20181212,2.9,-1,7.6
20181213,2.9,-2.3,8.4
20181214,0.8,-3.1,6.9
20181215,0.6,-5.4,9.1
20181216,1.7,-1.8,4.7
20181217,3.1,-.8,9.5
20181218,3.1,-1.4,9.8
20181219,6.4,-1.7,14.3
20181220,6.9,2.4,11.6
20181221,6.4,.5,13.9
20181222,9.1,1.8,16.7
20181223,9.3,3.1,13.3
20181224,3.4,-2.3,9.1
20181225,3.3,-3.2,9.4
20181226,6.9,4.4,11.9
20181227,1.3,-4.1,4.5
20181228,-2.9,-6.9,1.6
20181229,-1.7,-5,2.1
20181230,-0.9,-5.3,5
20181231,1.6,-4.7,7.9
20190101,1.5,-1.7,5.7
20190102,1.2,-2.5,7.2
20190103,2,-3,9
20190104,2.2,-4.7,8.4
20190105,5.3,-1.9,12.2
20190106,2,-2.5,10
20190107,2.8,-3.5,9.7
20190108,3.1,-1.1,8.4
20190109,1.2,-2.8,6.7
20190110,4.3,-1.1,9.7
20190111,4.9,-2.3,11.6
20190112,6,4.3,7.8
20190113,4.9,-.9,12.5
20190114,3.7,-2.1,12.2
20190115,5,-.2,10.3
20190116,0.6,-4.5,6.2
20190117,2.8,-2.4,8.4
20190118,4.5,-.7,11.3
20190119,5.7,-.9,13.3
20190120,6.1,-.1,10.4
20190121,3.1,-2.1,8.8
20190122,3.9,-2.4,11.1
20190123,4.5,-.9,11.9
20190124,3.2,-2.7,11.3
20190125,2.3,-2.6,7.5
20190126,1.1,-2.6,6.4
20190127,1.4,-6,9.9
20190128,4.5,-1.8,11.8
20190129,2.7,-3.8,11.1
20190130,6.5,-.2,13.9
20190131,3.1,-1.7,9.1
20190201,1.2,-3.1,6
20190202,2.9,-3.1,8.6
20190203,9.8,3.4,16.1
20190204,7.2,3.3,10.7
20190205,5.1,-2.2,13.6
20190206,7.6,.2,16.4
20190207,7.6,-.5,14.1
20190208,2.9,-1.3,8.7
20190209,2.7,.1,5.7
20190210,3.6,-2.2,9.2
20190211,3.4,-.4,7.3
20190212,3.5,-1,9.1
20190213,4.3,-1.3,9.4
20190214,4.3,-.5,10
20190215,5.9,1.8,12.3
20190216,3.8,-.5,8.5
20190217,3.1,-2.1,9.8
20190218,5.1,-.1,9.8
20190219,6.3,4.2,8.4
20190220,5.4,.7,10.9
20190221,5.6,-1,12.7
20190222,7.9,1.8,14.7
20190223,7.4,1.2,14.6
20190224,7.1,-.3,15.5
20190225,9.5,2,17.7
20190226,9.4,2.6,16.7
20190227,11,8.7,14.6
20190228,10.1,4.8,15.4
20190301,9.7,3.4,16.8
20190302,9.5,2.4,16.2
20190303,11.8,8.2,16.5
20190304,11.6,6.7,18.2
20190305,10.3,2.8,16.8
20190306,10.1,6.4,13.8
20190307,8.9,5.3,13.9
20190308,8.6,2,15.5
20190309,9.9,1.9,16.4
20190310,8.6,6.7,11.2
20190311,9.6,3.4,15.8
20190312,9.4,4.7,15.5
20190313,6.1,.1,11.8
20190314,7,.7,14.2
20190315,6.6,1.2,14.2
20190316,7.7,2.8,13.8
20190317,9.1,3.6,15.9
20190318,9.8,2.8,15.7
20190319,13.3,6.6,23.3
20190320,12.5,6.3,19.8
20190321,17.3,11.2,22.7
20190322,10.1,5.9,16.4
20190323,8.1,4.4,14.3
20190324,7.1,.6,14.1
20190325,8.5,2.6,15
20190326,12.2,4.9,21
20190327,13.4,5.7,20.8
20190328,13.2,11,19.1
20190329,13.7,8.6,19
20190330,12.4,6,17.8
20190331,8.1,4.6,13.4
20190401,7.9,2.2,13.9
20190402,8.9,1.7,15.9
20190403,9.2,1.4,16.1
20190404,12.6,5.2,20.7
20190405,14.7,6.1,21.6
20190406,13.5,5.8,20.5
20190407,12.5,7.8,19.3
20190408,14.1,8.5,23
20190409,11.4,7.8,16.7
20190410,9.8,7.4,12.9
20190411,10.3,4.5,15.2
20190412,12,7.3,18.7
20190413,12.2,5,19
20190414,12.7,7.4,17.1
20190416,14.4,5,25.1
20190417,17.3,11.3,25
20190418,16.4,10.2,23.5
20190419,13.7,10.2,16.7
20190420,14.6,7.8,21.6
20190421,17.5,10.6,24.4
20190422,18.3,12.1,25.9
20190423,16.6,12.9,21.8
20190424,18.5,15.9,23.3
20190425,15,11.8,18.5
20190426,11.4,8.9,15.3
20190427,12.6,7.6,19
20190428,13.1,9,19.6
20190429,12.7,11.1,14.2
20190430,16.1,12.3,21.2
20190501,17.4,12.2,25.6
20190502,16.6,9.8,23.9
20190503,17.9,8.5,27.7
20190504,18.5,9.7,27.9
20190505,19.2,12.6,26.7
20190506,15.8,10.9,23.3
20190507,15.1,7.8,23.2
20190508,16.4,7.5,25
20190509,19.3,13,26.9
20190510,18.5,10.5,27.9
20190511,19.2,9.9,28.6
20190512,20.1,13.1,28.4
20190513,19.5,13.5,26.7
20190514,21.8,17.3,28.5
20190515,22.1,16.2,29.2
20190516,22.4,15.1,31.2
20190517,21.9,15.1,28
20190518,18.7,17.4,22.2
20190519,20.3,18.8,23.2
20190520,20,15.4,24.1
20190521,18.4,10.4,26.5
20190522,19.8,10.6,27.7
20190523,21.4,13.6,31
20190524,22.4,13.6,31.3
20190525,24.9,17.9,33.2
20190526,23.7,17.1,30.2
20190527,20.3,18.9,22.8
20190528,19.5,13.6,25.4
20190529,20.1,10.8,28.6
20190530,21.9,12.5,29.7
20190531,19.1,15.1,23.1
20190601,20.1,13.3,27.7
20190602,20.9,14.5,28.8
20190603,22,14.1,30.1
20190604,23.9,16.4,31.4
20190605,25.2,18.9,32.7
20190606,23,16.9,29.4
20190607,19.7,17.5,22.1
20190608,21.2,16.8,26.8
20190609,19.8,16.5,24.6
20190610,19.6,16.1,24.6
20190611,19.8,16.4,24.2
20190612,20.5,15.9,26.4
