관측일,평균기온,최저기온,최고기온
20181210,-2.6,-10.6,7
20181211,-0.1,-4.2,2
20181212,-0.1,-4.1,3.6
20181213,0.2,-6.1,6.5
20181214,-1.5,-6.1,3.8
20181215,-2.8,-10.3,5.9
20181216,-1.8,-6.3,2.2
20181217,1.3,-3.9,7.8
20181218,2.8,-2.6,9
20181219,3,-4.4,13.1
20181220,2.9,-2.6,10.2
20181221,3,-4.5,13
20181222,5,-2.4,14.8
20181223,7,2.2,12.3
20181224,0.8,-2.6,6.1
20181225,0,-4.9,6.4
20181226,3.4,-.6,10
20181227,-3.2,-8.1,1.4
20181228,-6.2,-9.5,-1.7
20181229,-4.6,-7.9,-.3
20181230,-3.8,-7.5,1.5
20181231,-2.4,-11.3,6.3
20190101,-1,-3.9,3.8
20190102,-0.9,-6.1,4.3
20190103,-1,-5.7,6.1
20190104,-0.2,-9.6,8.1
20190105,1.5,-6.6,7.1
20190106,-1.5,-7.9,7.4
20190107,0.4,-6.7,6.8
20190108,1.3,-2.8,5.7
20190109,-1.9,-7.2,4.7
20190110,1.7,-4.1,6.7
20190111,2.5,-4.1,9.9
20190112,3,-.3,5
20190113,0.7,-3.6,8.7
20190114,-0.1,-6.4,8.8
20190115,2.3,-2.6,7.8
20190116,-2.1,-6.6,3.3
20190117,1.4,-2.4,5.9
20190118,1.9,-3.5,9.1
20190119,3.5,-2.8,12
20190120,3.4,-2,7.6
20190121,1.5,-3.9,7.6
20190122,4,-1.8,10
20190123,4.3,-.7,11
20190124,0.9,-6.9,10
20190125,0.2,-5.9,7.1
20190126,-0.6,-5.8,5.1
20190127,-0.7,-10.2,8.8
20190128,3.1,-2.4,9.3
20190129,0,-8.2,10.5
20190130,4.3,-4.7,12.4
20190131,1.6,-2.8,6.7
20190201,-0.4,-5.2,5.1
20190202,2.4,-2.5,9.1
20190203,5.2,1.3,8.6
20190204,3.8,-2.7,8.8
20190205,1.5,-7,12.1
20190206,4.8,-4,14.8
20190207,3.2,-2.2,8.9
20190208,-0.5,-4.6,6.1
20190209,0.1,-2.4,4
20190210,0.6,-4.7,5.8
20190211,0.6,-3.3,5.6
20190212,0.6,-6.2,7.3
20190213,2.3,-3,7.4
20190214,1.7,-1.6,6.2
20190215,3.6,-1.3,10.8
20190216,1.3,-1.8,5
20190217,1.3,-4.2,8.2
20190218,4.2,-3.8,10.4
20190219,3.8,2,5.7
20190220,3.6,-.8,8.2
20190221,2.7,-4.3,11.1
20190222,4.4,-2.3,13.3
20190223,4,-2.6,12.7
20190224,5.2,-3.9,15.9
20190225,8.3,1.4,16.3
20190226,6.4,-1.6,15
20190227,8.7,4.1,15.2
20190228,8.7,1.9,15.5
20190301,6.4,-2.6,15.8
20190302,6.5,-2.5,15.2
20190303,8.8,1.7,15.5
20190304,9.2,2.8,17.6
20190305,8.1,-1.3,16.9
20190306,10.2,6.7,15.7
20190307,7.9,2.4,14.3
20190308,6.3,-2,16.9
20190309,8.2,-2.4,18
20190310,8,6,10.2
20190311,7.5,-.6,15.3
20190312,8.2,1.3,15.6
20190313,4.8,.1,10.4
20190314,4.6,-3.4,13.6
20190315,5.7,-.7,13.8
20190316,6.7,1.7,13.7
20190317,7.7,1.4,14.8
20190318,7.8,-2.6,17.1
20190319,12.1,.6,21.6
20190320,11.6,3.6,19.4
20190321,13.6,6.4,17.9
20190322,7.5,3.3,14
20190323,5.6,2,13.8
20190324,6.3,-3.1,13.9
20190325,9,.7,16.4
20190326,11.3,2.9,20.9
20190327,12.9,.2,23.7
20190328,10.4,6,14.6
20190329,11.2,4.4,19.5
20190330,9.4,5,14.2
20190331,6.9,3.6,12.2
20190401,6.3,1.3,12.4
20190402,7,-2.9,15.2
20190403,8.3,-2.3,16.5
20190404,12.9,5,21.6
20190405,14.3,4.5,22.8
20190406,14.9,7.7,23.9
20190407,12.2,7.6,17.8
20190408,11.2,1.8,22.1
20190409,8,1.6,16.6
20190410,8.1,4.8,11.1
20190411,10.2,5.4,15.3
20190412,11.3,4.4,19.9
20190413,11.9,2.2,20.2
20190414,11.5,6.1,17.2
20190416,15.8,3.7,25.6
20190417,16.7,8.6,25.4
20190418,17.5,6.8,27.4
20190419,12.2,10.3,16.9
20190420,15.9,6.6,25.1
20190421,18.5,13.2,25.3
20190422,15.7,9.2,22.7
20190423,15.7,8.4,23.3
20190424,18.3,15,22.3
20190425,14.1,10.7,16.9
20190426,10.2,8.3,11.9
20190427,11.6,4,18.6
20190428,12.6,7.9,20.6
20190429,10.4,5.8,12.5
20190430,14.2,10.6,19
20190501,16.4,10.1,24.7
20190502,17.3,7.8,26.4
20190503,16.9,6.1,28
20190504,18.2,7.5,29.6
20190505,20.6,11.1,30.2
20190506,13.7,8.3,21.4
20190507,13.8,4.1,23.2
20190508,16.3,5,25.4
20190509,19.4,13.8,26
20190510,18.6,7.3,29.8
20190511,19.4,8.6,30.4
20190512,17,9.8,24.7
20190513,17.7,8.3,26.1
20190514,21.6,15.7,29.4
20190515,21.6,13.9,29.4
20190516,22,14,31.3
20190517,21.2,11.8,28.9
20190518,17.8,16.5,20.9
20190519,19.7,16.4,23.9
20190520,18.9,13.6,23.6
20190521,18.3,9.9,26.3
20190522,19.2,7.1,30.1
20190523,21.1,10.5,31.5
20190524,23.7,10.6,35.6
20190525,24.7,16,32.9
20190526,24.4,15.3,33.3
20190527,20.6,17.7,23
20190528,19.5,14.6,24.9
20190529,21.8,9.8,30.7
20190530,23.9,13.7,31.6
20190531,20.2,14.8,26.5
20190601,20.7,12.5,27.9
20190602,21.8,11.8,30.8
20190603,23.7,13,33.2
20190604,25.8,15.5,35.5
20190605,25.3,17.9,34.3
20190606,24,17.2,32.6
20190607,19,17.6,21.6
20190608,20.2,16.3,25.3
20190609,18,14.1,21.9
20190610,18.5,14.4,23.2
20190611,18.8,13.8,24.2
20190612,20.1,16.2,26.5
20190613,21.6,12.5,30
20190614,18.9,15.1,23
20190615,20.5,16.2,29.4
20190616,19.6,14.8,26.9
20190617,23.3,16.7,30.2
20190618,23.1,16.7,30.4
20190619,24,18,29.9
20190620,26.5,19,33.3
20190621,24.5,18.4,32.8
20190622,20.9,17.1,25.8
20190623,20.1,13.5,26.1
20190624,21.7,15.4,28.6
20190625,23.7,15.9,31.7
20190626,19.9,16.6,24
20190627,24.3,21.5,30
20190628,22.3,20.9,24.3
20190629,21.3,20.6,22.5
20190630,25.4,21,31.4
20190701,23.4,19.4,27.3
20190702,24.4,17.1,31.3
20190703,23.7,17.8,30.3
20190704,24.8,17.5,32.7
20190705,25.1,18.4,32.2
20190706,23.2,16.4,29.2
20190707,22.4,19.7,27.1
20190708,21.7,18.4,26.1
20190709,21.3,17.3,25.7
20190710,21.9,20.1,23.1
20190711,24.1,21.2,27.6
20190712,24.7,21.1,29.7
20190713,23.9,19.5,29.2
20190714,23.9,20,29
20190715,23.2,20.9,26.4
20190716,23.9,20.8,28.9
20190717,24.1,18.7,29.1
20190718,24.2,21.6,28.6
20190719,24.5,21.7,27.8
20190720,24.8,23.8,27.2
20190721,25.7,23.5,28.5
20190722,28.2,23.1,34
20190723,29.7,24.3,35.3
20190724,28.3,25.5,31.6
20190725,26.7,23.9,29.5
20190726,29,26.5,32.6
20190727,28.4,25,31.8
20190728,29.3,26.1,33.3
20190729,29,23.6,34.3
20190730,29.8,23.9,34.7
20190731,31,26.2,36
20190801,30.7,26.5,36.1
20190802,30.3,24.6,37.2
20190803,29.1,23.8,35.7
20190804,29.6,23.2,36.7
20190805,29,23.3,36.5
20190806,25.6,21.8,30.6
20190807,27.8,24,34.1
20190808,28.1,23.3,35.4
20190809,29.3,24.1,36.1
20190810,28,24,32.2
20190811,28.9,25.8,33.1
20190812,30.2,25.4,35.5
20190813,29.1,23.6,34.5
20190814,28.6,25.8,32.3
20190815,27.1,25.5,29.4
20190816,28,25.2,32.6
20190817,28.3,21.3,34.6
20190818,28.1,23.4,34.3
20190819,26,22.4,31
20190820,26.1,22.3,30.3
20190821,25.7,23.6,28.8
20190822,25.7,23.5,30.3
20190823,25.4,20.7,30.7
20190824,22.9,18.3,28.2
20190825,23.5,17.9,30.8
20190826,24.3,17.5,31.6
