관측일,평균기온,최저기온,최고기온
20181210,1.8,-4.4,8.9
20181211,4.1,1.8,6.3
20181212,1.6,-1.7,5.2
20181213,2.5,-2.1,8.5
20181214,-0.2,-3.3,5
20181215,2,-3,10
20181216,1.4,-1.4,4.9
20181217,3.7,-.8,8
20181218,4.3,.6,8.7
20181219,8.4,-.1,13.9
20181220,8.2,4.1,11.4
20181221,8.9,1.8,17
20181222,10.4,5.8,15.8
20181223,8.1,3.2,12
20181224,2.3,-.9,6.6
20181225,2.8,-1.4,8
20181226,6,3,9.5
20181227,-1.2,-6.7,3.2
20181228,-4.7,-8.5,.2
20181229,-3.1,-5.8,.5
20181230,-2,-6.5,2.9
20181231,2.2,-2.4,8.4
20190101,0.1,-2.5,4.1
20190102,0.5,-3,5.4
20190103,1.4,-2.7,7.7
20190104,4.1,-1.5,10.9
20190105,4.5,1,9.4
20190106,3.1,-.6,9.5
20190107,2.9,-1.1,7.9
20190108,2.6,-2,7
20190109,0.4,-4.3,6
20190110,3.4,-.7,8.3
20190111,4.7,-.3,10.9
20190112,4.8,4.2,6
20190113,5.3,2,10.1
20190114,5.9,1.6,12.2
20190115,4.7,-.7,9.7
20190116,-0.8,-5.3,4.2
20190117,2.4,-1.3,6.4
20190118,4.3,-1.1,10.5
20190119,7.2,1.3,13.9
20190120,4.5,-1.3,9
20190121,2.4,-3.2,9.1
20190122,5,-.7,11.9
20190123,6.2,.3,11.4
20190124,4.6,.2,10.6
20190125,3,-1.1,7.1
20190126,0,-3.4,4.1
20190127,2.7,-3.5,10.8
20190128,3.6,-1,9.8
20190129,3.9,-1.7,10.1
20190130,7.9,2.1,14.5
20190131,2.1,-2,7.7
20190201,0,-3.9,5.1
20190202,3.6,-3.3,10.1
20190203,11,5.2,17.6
20190204,5.8,2.8,9.7
20190205,6,1.2,11.9
20190206,9.2,3.3,15.7
20190207,6.6,-.3,12.4
20190208,0.8,-2.9,6.7
20190209,1.2,-1.3,4.4
20190210,1.7,-2.2,6.3
20190211,1.6,-1.3,5.4
20190212,2.2,-2,7
20190213,3.4,0,7.8
20190214,2.4,.3,5.3
20190215,4.9,.1,12
20190216,2.1,-1,5.5
20190217,1.9,-3.8,8.3
20190218,5.3,.1,9.8
