관측일,평균기온,최저기온,최고기온
20181210,-2,-8.6,7.9
20181211,0.8,-4.5,3.4
20181212,0.5,-5.5,7.1
20181213,0.2,-7.5,7.9
20181214,-1.4,-6.4,6.2
20181215,-2.4,-9.2,7.3
20181216,-1.1,-4.7,2.4
20181217,2.2,-2.7,9.9
20181218,,-3.6,10
20181219,4.1,-3.9,14.5
20181220,4.2,-.8,10
20181221,3.8,-2.5,13.7
20181222,6.1,-.8,16.1
20181223,7.6,-.4,13.3
20181224,0.2,-5,8
20181225,0.3,-6.7,6.8
20181226,4.7,.8,11.2
20181227,0.1,-5.2,4.8
20181228,-4,-9.6,2.6
20181229,-4.9,-11,2.1
20181230,-3.9,-10.4,4.3
20181231,-1.7,-9.6,7.4
20190101,-1.1,-8.2,6.8
20190102,-1.6,-7.7,7.8
20190103,-2.3,-8.8,8
20190104,-0.7,-9,8.5
20190105,1.9,-6,10.7
20190106,-0.9,-7.1,9.3
20190107,-0.8,-8,9.2
20190108,0.5,-5.1,9.3
20190109,-1.1,-4.4,4.6
20190110,1.4,-3.7,10.3
20190111,1.9,-5.8,9.8
20190112,3.4,-1.9,8.9
20190113,1.5,-4.1,10.7
20190114,0.9,-5.7,10.8
20190115,2.7,-2.1,10.8
20190116,-1.2,-6,5.6
20190117,-0.7,-7.7,8.3
20190118,0.1,-7.6,10.3
20190119,3.5,-2.9,12.6
20190120,4.1,-3.8,9.5
20190121,0.8,-7.8,10
20190122,3,-5.5,11.9
20190123,3.7,-4.7,12.3
20190124,0.8,-6.7,10.6
20190125,0,-6.4,7.8
20190126,-0.9,-7.6,6.6
20190127,-1.7,-10.2,10.5
20190128,1.9,-4.8,10.9
20190129,0,-7.9,10
20190130,3.2,-4.5,12.7
20190131,1.3,-3.2,5.5
20190201,-1.5,-7.6,6.4
20190202,0.9,-7.3,9.5
20190203,7.3,2.8,14.1
20190204,4.9,-1.5,10.5
20190205,2.3,-5.3,12.1
20190206,5.6,-3.3,15.6
20190207,5.1,-2.3,11.5
20190208,0.6,-3.7,7.1
20190209,1.2,-2.3,6.1
20190210,2,-4.8,7.3
20190211,0.9,-4.3,7.6
20190212,0,-7.5,7.9
20190213,2.6,-4.1,9.7
20190214,2.8,-1.4,9.5
20190215,4.7,-1.5,12.7
20190216,2.5,-3.6,8.1
20190217,0,-7,9
20190218,1.9,-5.4,8.4
20190219,3.6,1.8,6.4
20190220,3.7,-.9,11.1
20190221,3.4,-2.9,11.2
20190222,4.3,-1.3,12.5
20190223,5.1,-2.8,15.2
20190224,6,-2,16.3
20190225,6.9,-1,16
20190226,5.9,-1.8,14.9
20190227,8.4,4,13.6
20190228,8.6,3.1,15.1
20190301,6.6,-1.5,16.1
20190302,7.2,-1.5,15.5
20190303,10.1,5.6,15.2
20190304,10.7,4.3,17.7
20190305,8.4,-.1,16.8
20190306,9.6,5.6,13.8
20190307,7.8,1.5,14.7
20190308,6.9,-1.9,17.6
20190309,8.4,-2,18
20190310,7.8,3.7,10.6
20190311,6.9,.8,15.6
20190312,8.1,1.4,16
20190313,4.3,-3.5,11.5
20190314,5.3,-4.2,14.4
20190315,5.2,-.9,13
20190316,6.1,-1.9,14.3
20190317,7.3,-.7,16.4
20190318,7.8,-1.1,15.5
