관측일,평균기온,최저기온,최고기온
20181210,-1.9,-8.3,8.3
20181211,1.8,-4,5
20181212,1.6,-4.8,6.4
20181213,0.5,-7.3,8
20181214,-0.2,-5.7,7.3
20181215,-1.8,-8.6,9
20181216,-0.1,-4.7,3.8
20181217,2.2,-.9,10.1
20181218,1.6,-4.4,10.7
20181219,4.1,-3.8,14.8
20181220,4.6,-.7,9.6
20181221,4.5,-2.3,14.9
20181222,7,-.5,16.1
20181223,7.8,2.2,12.3
20181224,1.3,-4.4,8.9
20181225,0.7,-6.4,7
20181226,5.2,1.4,10.8
20181227,-0.2,-5.5,3.8
20181228,-3.7,-8.8,1.9
20181229,-2.2,-8.4,2.3
20181230,-1.7,-5.5,4
20181231,-1,-8.4,8.3
20190101,-1.4,-7.6,6.3
20190102,-0.7,-6.9,7
20190103,-1.8,-8.9,9.4
20190104,-0.8,-8.4,6.1
20190105,2.6,-4.8,10.5
20190106,0.1,-5.3,10.5
20190107,-0.2,-7.9,9.1
20190108,0.8,-5.1,8.6
20190109,-0.4,-3.8,4.9
20190110,2.5,-2.3,9.1
20190111,2.5,-4.2,10
20190112,4,-1.6,9.5
20190113,1.7,-3.2,11.4
20190114,1.1,-5.6,11.3
20190115,2.2,-2.8,10
20190116,-0.7,-6.7,6.2
20190117,-0.1,-8.4,7.1
20190118,0.6,-7.1,10.9
20190119,3.5,-3.2,12.2
20190120,3.8,-2,9.2
20190121,-0.4,-7.7,9.1
20190122,0.4,-7.2,10.8
20190123,2,-6.9,12.3
20190124,0.8,-6.6,11.5
20190125,0.3,-5.9,7.9
20190126,-0.4,-6.8,5.7
20190127,-1.5,-10.1,9.1
20190128,1.6,-5.8,10.9
20190129,0.2,-7.4,10.4
20190130,3.4,-4.9,12.5
20190131,1.5,-4.6,7
20190201,-1.1,-6.2,6.4
20190202,1,-8,9.2
20190203,6.6,3.2,12.3
20190204,5.1,-1.9,10.6
20190205,2.3,-5.8,12.9
20190206,4.8,-3.7,15.5
20190207,5.4,.7,11.6
20190208,1.6,-1.2,8
20190209,1.3,-1,4.5
20190210,2,-3.1,7.1
20190211,1.3,-3.6,7.3
