관측일,평균기온,최저기온,최고기온
20181210,1.8,-4.2,7.9
20181211,4.5,2.1,6.7
20181212,2.1,-.5,5.2
20181213,1.9,-1.8,6.6
20181214,0.4,-3.3,6
20181215,1.8,-3.3,7.8
20181216,2.4,1.3,4.6
20181217,4.3,1.5,8.7
20181218,4.5,1.2,9.2
20181219,7.7,2.5,13.3
20181220,7.3,3.3,11.5
20181221,8.3,2.2,15.7
20181222,9.5,5.3,13.4
20181223,8.7,3.7,13.2
20181224,2.6,-.8,7.1
20181225,2.5,-1.1,5.9
20181226,6,3.3,9.9
20181227,-1.1,-6.5,3.3
20181228,-4.8,-8.3,-.2
20181229,-3.4,-6.8,1.2
20181230,-1.8,-6.5,3.7
20181231,1.9,-3.4,8.6
20190101,0.2,-2.2,4.2
20190102,0.6,-3.4,6.5
20190103,1.3,-3,6.7
20190104,3.6,-.9,9.5
20190105,4.4,.3,9.4
20190106,2.8,-.8,9
20190107,2.9,-.4,7.3
20190108,2.4,-1.4,6.8
20190109,0.6,-4,5.6
20190110,3.8,1.3,8.3
20190111,4.5,-.2,10.1
20190112,5.3,4.7,6.3
20190113,5.9,2.8,10.9
20190114,5.5,1,11.4
20190115,4.4,-.9,8.4
20190116,-0.9,-5.1,5.1
20190117,2.3,-1.8,6.7
20190118,4.3,-.2,10.6
20190119,7.2,3.1,12.7
20190120,4.9,-.7,8.7
20190121,2.2,-2.8,8.1
20190122,5.3,1,10.6
20190123,6.2,2.3,11.2
20190124,4.6,.1,10.4
20190125,3.3,.1,7.3
20190126,0.9,-2.7,5.7
20190127,2.7,-2.8,9.6
20190128,4.4,1,9.3
20190129,4.1,-1.4,11
20190130,7.5,2.4,13.5
20190131,3.4,-1.3,7.7
20190201,0.5,-4,5.8
20190202,4.2,-.6,9.8
20190203,9.1,5.2,15.6
20190204,6.1,3.1,9.7
20190205,6.5,.5,12.9
20190206,9,3,15.6
20190207,6.7,.1,10.9
20190208,1.5,-2.4,6
20190209,1.9,.1,4.9
20190210,1.9,-1,4.9
20190211,2.5,-.8,7
20190212,2.8,-1.5,7.8
20190213,3.9,.5,7.9
20190214,2.7,1.4,4.4
20190215,4.8,1.2,11
20190216,2.5,-.6,6
20190217,2.5,-3.1,8.8
20190218,5.7,.1,10.6
20190219,5.7,3.6,8.1
20190220,4.8,2.1,8.8
20190221,5.1,.6,9.6
20190222,7.2,2.4,13.3
20190223,7.9,4.9,11.1
20190224,8.4,1,16.2
20190225,9.9,6.7,14.5
20190226,9.4,4.9,14.8
20190227,10.3,8,13
20190228,9.3,6.1,13.4
20190301,8.7,3.3,13.3
20190302,8.9,3.8,12.8
20190303,10.2,6.4,13.4
20190304,11,7.9,13.8
20190305,11.8,5.5,17.2
20190306,11.3,9,15
20190307,8,5.1,10.9
20190308,9.6,3,16.8
20190309,12.5,5.6,18.8
20190310,9.8,7.3,12.4
20190311,9.8,4.5,15.3
20190312,9.3,2.5,15.9
20190313,5.2,.3,9.8
20190314,7.4,1.7,13.1
20190315,8.1,4.2,14.7
20190316,8.1,3.9,13.5
20190317,8.4,4.6,12.9
20190318,10.8,3.7,17
20190319,14.6,8.9,20.6
20190320,15.6,11.9,20.3
20190321,15.3,8.2,19.6
20190322,8.4,5.2,12
20190323,6.9,3.8,13.3
20190324,7.5,1.4,13.8
20190325,10.7,4.4,16.9
20190326,13,7.9,20.6
20190327,16.3,7.2,24.1
20190328,10.5,9.2,12.4
20190329,11.8,8.9,16
20190330,10.4,5.9,14.8
20190331,7.1,4.6,11.2
20190401,7,2.2,12.6
20190402,8.4,3,14.8
20190403,10.2,3.9,15.9
20190404,14,6.7,21
20190405,16,11.6,22.7
20190406,14.1,9.2,20.5
20190407,12.5,10.7,14.7
20190408,12.3,8.3,21.2
20190409,9.8,5.8,14.9
20190410,8.5,6.9,9.6
20190411,9.7,5.4,12.7
20190412,12.1,7.5,16.9
20190413,14.5,7.6,20.5
20190414,14.2,11,17.6
20190416,18.6,11.6,26
20190417,19.4,14.2,25.6
20190418,20.6,15,27
20190419,12.4,9.6,19.6
20190420,14.7,7.5,20.7
20190421,17.3,14.4,23.7
20190422,14.9,12.5,17.9
20190423,16.2,11.2,22.1
20190424,17,14.9,20.4
20190425,13.3,10.6,15.6
20190426,10,8.2,12
20190427,11.7,6.9,15.6
20190428,13.5,10.3,18.9
20190429,11.7,9.5,13.4
20190430,14.4,12.4,17.6
20190501,18.1,13,24.8
20190502,19.2,13.1,26.2
20190503,17.2,14.4,19.9
20190504,17,13.3,20.2
20190505,22.4,14.6,29.6
20190506,15,11.4,21.4
20190507,15.5,8.4,21.4
20190508,19.4,13.4,25.2
20190509,21.1,16,26.2
20190510,19.6,15,24.9
20190511,20.1,14.1,26.9
20190512,16.6,12.4,20.2
20190513,16.9,13.9,18.9
20190514,20.3,17.6,25.3
20190515,22.4,18.8,26.5
20190516,23.2,18.2,28.2
20190517,22.6,17.6,27.4
20190518,18.1,16.7,20.2
20190519,19.6,16.7,23.3
20190520,20.3,14.5,23.7
20190521,19.8,12.7,26.2
20190522,22.6,14.5,29.6
20190523,25,18.6,31.4
