"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","낙동강","해평","2019.01.02","","","","","","","","","","","","","",""
"하천","낙동강","해평","2019.01.07","","","","","","","","","","","","","",""
"하천","낙동강","해평","2019.01.14","","","","","","","","","","","","","",""
"하천","낙동강","해평","2019.01.21","","","","","","","","","","","","","",""
"하천","낙동강","해평","2019.01.28","","","","","","","","","","","","","",""
"하천","낙동강","해평","2019.02.07","4.7","7.8","14.1","0.6","3.9","14.1","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.02.11","3.7","8.2","14.0","1.1","4.2","21.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.02.18","4.5","7.7","13.3","0.8","5.8","28.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.02.25","6.6","8.1","12.7","0.3","10.2","45.1","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.03.04","8.7","8.6","14.1","1.2","3.0","19.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.03.11","8.5","8.8","13.6","1.5","2.7","11.3","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.03.18","9.1","8.6","12.5","0.9","4.0","15.5","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.03.25","9.3","8.2","11.7","1.0","3.0","12.8","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.04.01","10.2","8.2","11.4","1.0","3.1","12.0","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.04.08","12.4","8.2","11.1","1.7","2.3","14.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.04.15","12.0","8.2","11.3","1.3","2.5","11.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.04.22","16.4","8.1","9.6","1.5","2.0","10.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.04.29","14.9","8.1","10.5","1.5","2.8","11.0","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.05.07","18.2","8.5","10.5","1.4","2.8","12.7","63","0","0","0","63","","",""
"하천","낙동강","해평","2019.05.13","19.5","8.2","9.7","1.6","2.2","14.1","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.05.20","20.0","8.1","8.8","1.3","2.9","10.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.05.29","20.8","8.7","7.9","1.4","3.6","8.7","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.06.03","22.4","8.3","9.0","1.6","3.8","14.9","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.06.10","21.8","8.0","8.9","0.8","6.1","21.2","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.06.17","24.0","8.2","8.1","1.1","5.1","11.7","0","0","0","0","0","","",""
"하천","낙동강","해평","2019.06.24","25.0","8.5","8.6","1.2","3.0","13.5","359","0","179","0","180","","",""
