조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.04.17,,,,,,,180.0,180.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.04.23,,,,,,,170.0,170.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.04.30,,,,,,,600.0,600.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.05.14,,,,,,,350.0,350.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.05.22,,,,,,,1270.0,1270.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.05.28,,,,,,,25400.0,25400.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.06.03,,,,,,,32200.0,32200.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.06.05,,,,,,,43410.0,43410.0,0.0,0.0,0.0,,,정량한계미만,공산지(중앙부)
2014.06.09,,,,,,,58800.0,58800.0,0.0,0.0,0.0,,,정량한계미만,공산지(중앙부)
2014.06.18,,,,,,,79800.0,79800.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.06.25,,,,,,,112000.0,112000.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.07.02,,,,,,,109200.0,109200.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.07.10,,,,,,,43750.0,43750.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.07.16,,,,,,,5430.0,5430.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.07.24,,,,,,,3720.0,3590.0,130.0,0.0,0.0,,,,공산지(중앙부)
2014.07.30,,,,,,,6420.0,5900.0,520.0,0.0,0.0,,,,공산지(중앙부)
2014.08.06,,,,,,,4090.0,1930.0,2160.0,0.0,0.0,,,,공산지(중앙부)
2014.08.13,,,,,,,12900.0,3550.0,9350.0,0.0,0.0,,,,공산지(중앙부)
2014.08.20,,,,,,,1250.0,500.0,750.0,0.0,0.0,,,,공산지(중앙부)
2014.08.27,,,,,,,450.0,200.0,250.0,0.0,0.0,,,,공산지(중앙부)
2014.09.02,,,,,,,2250.0,2100.0,150.0,0.0,0.0,,,,공산지(중앙부)
2014.09.11,,,,,,,2560.0,1580.0,980.0,0.0,0.0,,,,공산지(중앙부)
2014.09.17,,,,,,,1520.0,1520.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.09.25,,,,,,,250.0,250.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.10.01,,,,,,,1230.0,1230.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.10.06,,,,,,,1750.0,1750.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.10.14,,,,,,,1230.0,1230.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.10.20,,,,,,,2800.0,2800.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.10.29,,,,,,,1750.0,1750.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.11.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.11.10,,,,,,,400.0,400.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.11.19,,,,,,,260.0,260.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.11.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.12.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.12.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.12.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.12.24,,,,,,,140.0,140.0,0.0,0.0,0.0,,,,공산지(중앙부)
2014.12.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.01.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.01.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.01.21,,,,,,,,,,,,,,,공산지(중앙부)
2015.01.28,,,,,,,320.0,320.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.02.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.02.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.02.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.02.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.03.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.03.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.03.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.03.30,,,,,,,220.0,220.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.04.06,,,,,,,200.0,200.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.04.13,,,,,,,200.0,200.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.04.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.04.27,,,,,,,400.0,400.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.05.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.05.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.05.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.05.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.06.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.06.08,,,,,,,530.0,530.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.06.15,,,,,,,350.0,350.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.06.22,,,,,,,2100.0,2100.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.06.29,,,,,,,6830.0,6830.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.07.06,,,,,,,11890.0,11550.0,340.0,0.0,0.0,,,,공산지(중앙부)
2015.07.13,,,,,,,3150.0,2800.0,350.0,0.0,0.0,,,,공산지(중앙부)
2015.07.20,,,,,,,8740.0,7890.0,850.0,0.0,0.0,,,,공산지(중앙부)
2015.07.27,,,,,,,61990.0,60900.0,1090.0,0.0,0.0,72,7.0,2.0,공산지(중앙부)
2015.07.30,,,,,,,64850.0,64400.0,450.0,0.0,0.0,33,8.0,1.0,공산지(중앙부)
2015.08.03,,,,,,,29300.0,29050.0,250.0,0.0,0.0,18,8.0,0.0,공산지(중앙부)
2015.08.06,,,,,,,35530.0,35530.0,0.0,0.0,0.0,12,24.0,1.0,공산지(중앙부)
2015.08.10,,,,,,,22400.0,22400.0,0.0,0.0,0.0,3,9.0,0.0,공산지(중앙부)
2015.08.12,,,,,,,26950.0,26950.0,0.0,0.0,0.0,3,6.0,1.0,공산지(중앙부)
2015.08.17,,,,,,,25730.0,25730.0,0.0,0.0,0.0,정량한계미만,5.0,1.0,공산지(중앙부)
2015.08.20,,,,,,,19430.0,19430.0,0.0,0.0,0.0,정량한계미만,3.0,0.0,공산지(중앙부)
2015.08.24,,,,,,,11730.0,11730.0,0.0,0.0,0.0,정량한계미만,2.0,1.0,공산지(중앙부)
2015.08.27,,,,,,,14530.0,14530.0,0.0,0.0,0.0,1,6.0,0.0,공산지(중앙부)
2015.08.31,,,,,,,18200.0,18200.0,0.0,0.0,0.0,2,8.0,0.0,공산지(중앙부)
2015.09.07,,,,,,,8930.0,8930.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.09.14,,,,,,,9670.0,9370.0,0.0,300.0,0.0,,,,공산지(중앙부)
2015.09.21,,,,,,,31020.0,30980.0,40.0,0.0,0.0,,,,공산지(중앙부)
2015.09.30,,,,,,,29930.0,29230.0,0.0,0.0,700.0,,,,공산지(중앙부)
2015.10.05,,,,,,,22050.0,22050.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.10.12,,,,,,,8580.0,7880.0,700.0,0.0,0.0,,,,공산지(중앙부)
2015.10.19,,,,,,,9630.0,9630.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.10.26,,,,,,,11380.0,11380.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.11.02,,,,,,,6130.0,6130.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.11.09,,,,,,,5150.0,4310.0,0.0,0.0,840.0,,,,공산지(중앙부)
2015.11.16,,,,,,,5990.0,5990.0,0.0,0.0,0.0,,,,공산지(중앙부)
2015.11.23,,,,,,,8000.0,7600.0,0.0,0.0,400.0,,,,공산지(중앙부)
2015.11.30,,,,,,,1310.0,910.0,0.0,0.0,400.0,,,,공산지(중앙부)
2015.12.07,,,,,,,1300.0,500.0,0.0,0.0,800.0,,,,공산지(중앙부)
2015.12.14,,,,,,,900.0,500.0,0.0,0.0,400.0,,,,공산지(중앙부)
2015.12.21,,,,,,,780.0,580.0,0.0,0.0,200.0,,,,공산지(중앙부)
2015.12.28,,,,,,,250.0,250.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.01.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.01.11,,,,,,,250.0,250.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.01.18,,,,,,,350.0,0.0,50.0,0.0,300.0,,,,공산지(중앙부)
2016.01.25,,,,,,,730.0,530.0,0.0,0.0,200.0,,,,공산지(중앙부)
2016.02.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.02.11,,,,,,,100.0,100.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.02.15,,,,,,,400.0,0.0,0.0,0.0,400.0,,,,공산지(중앙부)
2016.02.22,,,,,,,60.0,60.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.02.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.03.07,,,,,,,30.0,0.0,0.0,30.0,0.0,,,,공산지(중앙부)
2016.03.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.03.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
2016.03.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(중앙부)
