조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.04.17,,,,,,,310.0,250.0,0.0,0.0,60.0,,,,공산지(취수탑)
2014.04.23,,,,,,,70.0,70.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.04.30,,,,,,,860.0,860.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.05.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.05.22,,,,,,,2540.0,2540.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.05.28,,,,,,,12800.0,12800.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.06.03,,,,,,,36930.0,36930.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.06.05,,,,,,,10150.0,10150.0,0.0,0.0,0.0,,,정량한계미만,공산지(취수탑)
2014.06.09,,,,,,,22750.0,22750.0,0.0,0.0,0.0,,,정량한계미만,공산지(취수탑)
2014.06.18,,,,,,,40250.0,40250.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.06.25,,,,,,,25200.0,25200.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.07.02,,,,,,,36750.0,36750.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.07.10,,,,,,,10310.0,10310.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.07.16,,,,,,,2870.0,2870.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.07.24,,,,,,,850.0,850.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.07.30,,,,,,,2200.0,2010.0,190.0,0.0,0.0,,,,공산지(취수탑)
2014.08.06,,,,,,,2440.0,1400.0,1040.0,0.0,0.0,,,,공산지(취수탑)
2014.08.13,,,,,,,3820.0,0.0,3820.0,0.0,0.0,,,,공산지(취수탑)
2014.08.20,,,,,,,1430.0,400.0,1030.0,0.0,0.0,,,,공산지(취수탑)
2014.08.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.09.02,,,,,,,1250.0,1050.0,200.0,0.0,0.0,,,,공산지(취수탑)
2014.09.11,,,,,,,50.0,50.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.09.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.09.25,,,,,,,1750.0,1750.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.10.01,,,,,,,1580.0,1580.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.10.06,,,,,,,2800.0,2800.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.10.14,,,,,,,1050.0,1050.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.10.20,,,,,,,4030.0,4030.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.10.29,,,,,,,700.0,700.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.11.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.11.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.11.19,,,,,,,180.0,180.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.11.24,,,,,,,300.0,300.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.12.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.12.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.12.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.12.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2014.12.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.01.07,,,,,,,380.0,380.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.01.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.01.21,,,,,,,,,,,,,,,공산지(취수탑)
2015.01.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.02.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.02.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.02.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.02.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.03.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.03.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.03.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.03.30,,,,,,,460.0,460.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.04.06,,,,,,,200.0,200.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.04.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.04.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.04.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.05.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.05.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.05.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.05.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.06.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.06.08,,,,,,,1750.0,1750.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.06.15,,,,,,,350.0,350.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.06.22,,,,,,,1050.0,1050.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.06.29,,,,,,,3330.0,3330.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.07.06,,,,,,,4450.0,4200.0,250.0,0.0,0.0,,,,공산지(취수탑)
2015.07.13,,,,,,,3150.0,3150.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.07.20,,,,,,,5910.0,5080.0,830.0,0.0,0.0,,,,공산지(취수탑)
2015.07.27,,,,,,,8400.0,8400.0,0.0,0.0,0.0,19,7.0,1.0,공산지(취수탑)
2015.07.30,,,,,,,20670.0,20440.0,230.0,0.0,0.0,27,7.0,0.0,공산지(취수탑)
2015.08.03,,,,,,,9450.0,9450.0,0.0,0.0,0.0,6,10.0,0.0,공산지(취수탑)
2015.08.06,,,,,,,16980.0,16980.0,0.0,0.0,0.0,10,15.0,0.0,공산지(취수탑)
2015.08.10,,,,,,,36400.0,36400.0,0.0,0.0,0.0,9,181.0,2.0,공산지(취수탑)
2015.08.12,,,,,,,24150.0,24150.0,0.0,0.0,0.0,3,10.0,1.0,공산지(취수탑)
2015.08.17,,,,,,,21000.0,21000.0,0.0,0.0,0.0,정량한계미만,3.0,1.0,공산지(취수탑)
2015.08.20,,,,,,,21880.0,21880.0,0.0,0.0,0.0,정량한계미만,3.0,0.0,공산지(취수탑)
2015.08.24,,,,,,,13830.0,13830.0,0.0,0.0,0.0,정량한계미만,2.0,0.0,공산지(취수탑)
2015.08.27,,,,,,,11550.0,11550.0,0.0,0.0,0.0,1,5.0,0.0,공산지(취수탑)
2015.08.31,,,,,,,14000.0,14000.0,0.0,0.0,0.0,2,8.0,0.0,공산지(취수탑)
2015.09.07,,,,,,,13300.0,13300.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.09.14,,,,,,,21900.0,21500.0,0.0,400.0,0.0,,,,공산지(취수탑)
2015.09.21,,,,,,,16800.0,16800.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.09.30,,,,,,,19580.0,19080.0,0.0,0.0,500.0,,,,공산지(취수탑)
2015.10.05,,,,,,,16160.0,15930.0,230.0,0.0,0.0,,,,공산지(취수탑)
2015.10.12,,,,,,,12650.0,12250.0,0.0,400.0,0.0,,,,공산지(취수탑)
2015.10.19,,,,,,,11380.0,11380.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.10.26,,,,,,,12780.0,12780.0,0.0,0.0,0.0,,,,공산지(취수탑)
2015.11.02,,,,,,,13400.0,13300.0,0.0,100.0,0.0,,,,공산지(취수탑)
