조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2016.01.04,,,,,,,6216.0,46.0,0.0,0.0,6170.0,,,,"낙동강(강정,고령)"
2016.01.11,,,,,,,958.0,0.0,0.0,0.0,958.0,,,,"낙동강(강정,고령)"
2016.01.18,,,,,,,814.0,0.0,0.0,0.0,814.0,,,,"낙동강(강정,고령)"
2016.01.25,,,,,,,,,,,,,,,"낙동강(강정,고령)"
2016.02.01,,,,,,,,,,,,,,,"낙동강(강정,고령)"
2016.02.11,,,,,,,,,,,,,,,"낙동강(강정,고령)"
2016.02.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.02.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.02.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.03.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.03.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.03.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.03.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.04.04,12.4,8.2,12.6,1.3,2.8,12.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.04.11,14.6,8.4,11.7,1.0,3.5,20.8,42.0,0.0,0.0,0.0,42.0,,,,"낙동강(강정,고령)"
2016.04.18,16.0,8.0,11.6,1.2,5.1,12.9,72.0,0.0,0.0,0.0,72.0,,,,"낙동강(강정,고령)"
2016.04.25,17.9,8.0,9.8,1.2,4.4,15.9,19.0,0.0,0.0,0.0,19.0,,,,"낙동강(강정,고령)"
2016.05.02,19.6,8.5,11.2,1.2,4.7,27.2,22.0,0.0,0.0,0.0,22.0,,,,"낙동강(강정,고령)"
2016.05.09,19.2,8.7,10.3,0.8,3.6,35.9,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.05.16,19.5,8.7,10.1,1.2,4.3,23.0,2877.0,2752.0,125.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.05.23,23.4,9.0,9.3,3.9,1.8,3.3,985.0,985.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.05.30,24.7,8.4,8.7,4.0,1.4,3.9,1525.0,1525.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.06.07,23.7,8.1,8.1,3.7,2.2,5.1,4996.0,4780.0,142.0,0.0,74.0,,,,"낙동강(강정,고령)"
2016.06.13,25.7,8.2,7.9,2.9,2.6,6.9,9975.0,9360.0,119.0,0.0,496.0,,,,"낙동강(강정,고령)"
2016.06.20,25.8,7.9,7.3,3.7,2.7,6.1,2782.0,1868.0,314.0,0.0,600.0,,,,"낙동강(강정,고령)"
2016.06.27,26.0,8.4,8.8,2.1,3.4,11.3,1701.0,1005.0,584.0,0.0,112.0,,,,"낙동강(강정,고령)"
2016.07.04,25.0,7.8,8.1,1.8,4.4,8.4,957.0,940.0,17.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.07.11,26.0,7.5,9.5,0.2,42.8,10.5,203.0,130.0,7.0,0.0,66.0,,,,"낙동강(강정,고령)"
2016.07.18,27.4,8.1,8.8,1.1,7.3,19.6,473.0,295.0,178.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.07.25,28.3,7.9,7.4,2.0,7.8,6.2,35.0,12.0,23.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.08.01,31.4,9.0,8.9,2.0,3.8,37.6,1988.0,1400.0,227.0,0.0,361.0,,,,"낙동강(강정,고령)"
2016.08.08,31.2,8.7,8.1,1.7,3.5,24.8,3738.0,3275.0,0.0,0.0,463.0,,,,"낙동강(강정,고령)"
2016.08.16,30.4,9.0,8.8,1.2,4.5,25.6,7187.0,7113.0,0.0,0.0,74.0,,,,"낙동강(강정,고령)"
2016.08.22,31.4,8.9,7.9,1.9,3.6,9.2,3270.0,3270.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.08.29,27.1,8.0,7.1,1.7,4.8,10.5,2279.0,2279.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.09.05,26.1,7.8,8.1,2.5,4.8,10.8,173.0,173.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.09.12,24.9,8.6,9.3,1.6,4.2,34.6,720.0,681.0,0.0,0.0,39.0,,,,"낙동강(강정,고령)"
2016.09.19,22.5,7.5,8.3,0.4,22.7,5.7,172.0,64.0,0.0,108.0,0.0,,,,"낙동강(강정,고령)"
2016.09.26,22.2,8.0,9.8,0.9,10.2,50.8,118.0,83.0,0.0,0.0,35.0,,,,"낙동강(강정,고령)"
2016.10.04,22.1,7.6,8.6,1.5,4.9,19.6,351.0,127.0,0.0,0.0,224.0,,,,"낙동강(강정,고령)"
2016.10.10,20.1,7.7,9.1,0.7,10.7,8.6,172.0,91.0,0.0,0.0,81.0,,,,"낙동강(강정,고령)"
2016.10.17,19.6,7.6,9.3,1.0,8.6,14.6,152.0,50.0,24.0,0.0,78.0,,,,"낙동강(강정,고령)"
2016.10.24,18.7,8.1,10.0,1.1,9.7,58.6,18.0,18.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.10.31,15.9,8.5,10.7,0.5,11.4,63.0,23.0,0.0,0.0,0.0,23.0,,,,"낙동강(강정,고령)"
2016.11.07,15.1,8.7,12.2,1.0,7.5,60.4,10.0,0.0,0.0,0.0,10.0,,,,"낙동강(강정,고령)"
2016.11.14,13.5,8.5,11.9,1.6,5.0,9.4,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.11.21,13.0,8.3,11.1,1.6,6.1,11.4,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.11.28,9.7,8.3,11.5,1.7,3.5,15.7,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.12.05,8.7,8.0,11.8,1.8,3.4,13.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.12.12,7.0,7.8,11.9,1.7,3.6,10.7,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.12.19,5.6,7.7,12.2,2.0,3.4,11.2,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2016.12.26,5.8,7.8,12.7,2.9,2.7,11.1,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.01.02,5.3,7.7,13.1,1.8,3.1,13.4,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.01.09,5.3,7.6,13.2,1.8,4.3,13.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.01.16,3.2,8.0,13.7,1.7,3.8,17.1,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.01.23,2.7,8.0,14.0,1.8,3.5,21.0,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.01.31,2.8,7.9,14.1,1.7,3.7,15.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.02.06,3.6,7.8,14.1,1.8,3.3,11.3,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.02.13,3.4,7.9,13.7,1.3,2.9,12.3,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.02.20,4.7,7.7,13.5,0.9,4.5,11.5,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.02.27,5.3,8.1,13.4,1.5,4.2,16.0,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.03.06,6.5,7.8,12.9,1.2,5.0,11.9,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.03.13,8.2,8.0,12.3,1.2,3.7,9.1,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.03.20,9.4,7.8,11.8,1.6,3.1,7.7,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.03.27,9.6,7.8,11.4,1.4,2.7,8.3,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.04.03,11.8,7.8,11.3,1.7,3.0,9.5,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.04.10,14.1,8.0,10.9,2.0,3.0,15.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.04.17,14.7,8.1,10.6,1.8,3.1,15.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.04.24,16.4,8.1,10.4,1.4,4.3,17.7,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.05.02,18.6,8.1,10.4,1.7,3.0,9.1,38.0,0.0,0.0,38.0,0.0,,,,"낙동강(강정,고령)"
2017.05.08,20.3,8.4,9.7,2.4,3.2,5.1,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.05.15,19.0,7.7,8.8,1.9,2.0,4.1,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.05.22,22.0,8.4,9.4,3.4,1.8,5.1,215.0,0.0,0.0,0.0,215.0,,,,"낙동강(강정,고령)"
2017.05.29,23.3,8.2,8.7,2.9,2.4,7.0,3813.0,83.0,0.0,0.0,3730.0,,,,"낙동강(강정,고령)"
2017.06.05,23.6,8.5,9.7,2.0,3.8,17.9,11844.0,0.0,190.0,0.0,11654.0,,,,"낙동강(강정,고령)"
2017.06.12,23.3,8.8,10.3,1.3,7.4,31.8,51555.0,9560.0,185.0,0.0,41810.0,,,,"낙동강(강정,고령)"
2017.06.15,23.6,8.7,10.0,1.1,6.7,36.2,51561.0,9480.0,1331.0,0.0,40750.0,53,정량한계미만,정량한계미만,"낙동강(강정,고령)"
2017.06.19,25.8,8.7,9.2,2.1,5.4,14.1,49821.0,11900.0,154.0,0.0,37767.0,63,11,정량한계미만,"낙동강(강정,고령)"
2017.06.22,25.7,8.3,8.2,2.5,4.2,13.5,30313.0,12480.0,58.0,0.0,17775.0,35,5,정량한계미만,"낙동강(강정,고령)"
2017.06.26,25.0,8.3,7.7,1.5,5.9,13.7,41081.0,7120.0,181.0,0.0,33780.0,26,9,정량한계미만,"낙동강(강정,고령)"
2017.06.29,25.6,8.2,7.9,1.9,4.8,11.4,14946.0,14740.0,137.0,0.0,69.0,44,14,0.0,"낙동강(강정,고령)"
2017.07.03,26.6,8.0,8.0,2.0,3.8,10.7,2845.0,2270.0,575.0,0.0,0.0,57,14,정량한계미만,"낙동강(강정,고령)"
2017.07.06,27.5,8.1,8.9,0.9,8.7,26.0,45002.0,18620.0,2812.0,0.0,23570.0,18,11,0.0,"낙동강(강정,고령)"
2017.07.10,26.9,7.4,8.1,0.6,11.3,17.3,6017.0,3920.0,1000.0,0.0,1097.0,14,8,정량한계미만,"낙동강(강정,고령)"
2017.07.13,28.4,7.8,8.4,0.5,11.8,18.1,2358.0,2070.0,0.0,0.0,288.0,정량한계미만,정량한계미만,정량한계미만,"낙동강(강정,고령)"
2017.07.17,27.6,7.3,8.0,0.5,13.3,16.5,477.0,430.0,0.0,0.0,47.0,,,,"낙동강(강정,고령)"
2017.07.24,28.5,8.2,8.6,1.1,15.8,5.8,492.0,475.0,17.0,0.0,0.0,,,,"낙동강(강정,고령)"
2017.07.31,25.4,7.3,8.7,0.4,19.8,20.6,1793.0,1780.0,0.0,0.0,13.0,,,,"낙동강(강정,고령)"
2017.08.07,28.5,8.8,10.6,0.4,8.7,61.8,2552.0,2290.0,136.0,0.0,126.0,,,,"낙동강(강정,고령)"
