조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2020.05.11,21.8,7.7,8.5,3.5,3.9,3.1,31.0,0.0,0.0,0.0,31.0,0.0,0,0.0,"낙동강(물금,매리)"
2020.05.18,21.2,7.7,8.7,2.5,2.1,4.2,106.0,90.0,5.0,0.0,11.0,0.0,0,0.0,"낙동강(물금,매리)"
2020.05.25,22.9,8.1,9.0,3.5,2.4,5.0,190.0,126.0,0.0,0.0,64.0,0.0,0,0.0,"낙동강(물금,매리)"
2020.06.01,24.3,8.3,8.9,3.5,1.9,10.2,705.0,486.0,3.0,0.0,216.0,0.0,0,0.0,"낙동강(물금,매리)"
2020.06.08,26.7,8.7,8.9,2.9,2.5,11.7,1295.0,378.0,24.0,0.0,893.0,0.0,0,0.0,"낙동강(물금,매리)"
2020.06.15,26.7,7.2,7.7,1.5,6.8,5.7,1654.0,1224.0,378.0,0.0,52.0,0.0,0,0.0,"낙동강(물금,매리)"
2020.06.22,26.5,7.9,8.2,1.5,5.6,12.0,2506.0,2142.0,22.0,0.0,342.0,0.0,0,0.3,"낙동강(물금,매리)"
2020.06.29,26.9,8.1,8.2,1.7,4.4,16.3,4619.0,3942.0,144.0,0.0,533.0,0.0,0,0.3,"낙동강(물금,매리)"
2020.07.06,26.4,7.9,8.1,1.5,5.2,10.3,9017.0,7866.0,345.0,3.0,803.0,,,,"낙동강(물금,매리)"
2020.07.16,24.4,7.8,7.7,0.5,54.6,3.8,219.0,216.0,3.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.07.20,24.5,6.9,8.4,0.7,15.4,4.5,329.0,324.0,3.0,0.0,2.0,,,,"낙동강(물금,매리)"
2020.07.30,24.1,7.2,8.3,0.5,30.2,2.4,69.0,54.0,9.0,0.0,6.0,,,,"낙동강(물금,매리)"
2020.08.03,26.3,7.5,8.1,0.4,50.0,2.3,304.0,216.0,14.0,0.0,74.0,,,,"낙동강(물금,매리)"
2020.08.10,,,,,,,,,,,,,,,"낙동강(물금,매리)"
2020.08.18,28.6,7.7,8.1,0.6,13.1,10.6,270.0,216.0,29.0,0.0,25.0,,,,"낙동강(물금,매리)"
2020.08.25,30.4,8.2,7.9,0.8,9.3,21.2,1647.0,1584.0,51.0,0.0,12.0,,,,"낙동강(물금,매리)"
2020.08.31,,,,,,,,,,,,,,,"낙동강(물금,매리)"
2020.09.07,,,,,,,,,,,,,,,"낙동강(물금,매리)"
2020.09.14,24.0,7.0,8.5,0.7,14.5,4.1,759.0,756.0,3.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.09.21,21.5,7.6,8.9,0.7,12.0,9.9,725.0,666.0,59.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.09.28,23.4,8.0,8.8,1.0,7.5,16.9,829.0,630.0,117.0,0.0,82.0,,,,"낙동강(물금,매리)"
2020.09.28,23.4,8.0,8.8,1.0,7.5,16.9,829.0,630.0,117.0,0.0,82.0,,,,"낙동강(물금,매리)"
2020.10.05,21.1,8.3,10.2,0.5,8.3,28.4,587.0,576.0,11.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.10.12,21.5,9.2,10.1,1.0,7.4,45.9,860.0,846.0,14.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.10.19,20.4,8.4,9.0,1.5,3.6,3.0,828.0,756.0,50.0,0.0,22.0,,,,"낙동강(물금,매리)"
2020.10.26,17.5,7.9,8.9,2.5,3.1,3.8,928.0,882.0,32.0,0.0,14.0,,,,"낙동강(물금,매리)"
2020.11.02,16.9,8.7,9.9,1.8,2.5,1.1,321.0,288.0,33.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.11.09,13.6,7.1,9.8,2.5,2.7,1.4,95.0,72.0,7.0,0.0,16.0,,,,"낙동강(물금,매리)"
2020.11.16,14.9,8.2,9.4,3.2,2.3,0.4,131.0,126.0,5.0,0.0,0.0,,,,"낙동강(물금,매리)"
2020.11.23,13.0,8.1,10.7,2.7,2.2,1.8,253.0,198.0,14.0,0.0,41.0,,,,"낙동강(물금,매리)"
2020.11.30,9.9,7.1,10.7,3.0,2.5,2.3,49.0,36.0,0.0,0.0,13.0,,,,"낙동강(물금,매리)"
2020.12.07,9.0,7.3,11.0,2.6,2.8,5.6,63.0,36.0,11.0,0.0,16.0,,,,"낙동강(물금,매리)"
2020.12.14,5.8,7.2,12.3,2.5,2.8,8.8,47.0,36.0,0.0,0.0,11.0,,,,"낙동강(물금,매리)"
2020.12.22,5.9,7.1,12.0,2.2,2.8,5.5,46.0,0.0,2.0,0.0,44.0,,,,"낙동강(물금,매리)"
2020.12.28,5.2,7.5,12.5,2.1,1.9,5.0,15.0,0.0,0.0,0.0,15.0,,,,"낙동강(물금,매리)"
2021.01.05,4.0,7.7,13.1,2.0,2.5,13.5,17.0,0.0,0.0,0.0,17.0,,,,"낙동강(물금,매리)"
2021.01.11,,,,,,,,,,,,,,,"낙동강(물금,매리)"
2021.01.18,,,,,,,,,,,,,,,"낙동강(물금,매리)"
2021.01.25,5.6,8.4,13.5,1.2,3.4,30.9,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.02.02,4.1,8.3,13.6,1.5,3.5,30.2,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.02.08,4.3,8.4,13.4,0.7,4.2,42.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.02.15,6.3,8.7,13.6,1.2,5.5,43.5,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.02.22,10.1,8.7,11.7,0.9,9.9,42.7,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.03.03,9.9,9.4,12.1,0.9,7.5,29.8,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.03.08,8.7,8.6,12.3,0.9,9.1,37.5,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.03.15,12.2,9.1,12.0,0.9,7.4,38.5,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.03.22,11.9,8.4,11.5,1.0,6.8,22.4,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.03.29,14.5,7.5,9.9,1.1,7.8,9.3,0.0,0.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.04.05,16.0,7.2,10.2,0.9,15.0,12.8,54.0,54.0,0.0,0.0,0.0,,,,"낙동강(물금,매리)"
2021.04.12,15.2,7.0,10.9,1.0,5.1,20.3,63.0,54.0,0.0,0.0,9.0,,,,"낙동강(물금,매리)"
2021.04.19,16.2,7.9,9.6,1.2,6.5,9.4,37.0,0.0,0.0,0.0,37.0,,,,"낙동강(물금,매리)"
2021.04.26,18.1,7.8,9.8,2.0,3.3,2.4,10.0,0.0,0.0,0.0,10.0,,,,"낙동강(물금,매리)"
