Á¶»çÀÏ,¼ö¿Â(¡É),pH,DO(§·/L),Åõ¸íµµ,Å¹µµ,Chl-a (§·/§©),À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,Áö¿À½º¹Î,2MIB,Microcystin-LR (¥ìg/L),ÁöÁ¡
2016.01.04,,,,,,,241.0,0.0,52.0,0.0,189.0,,,,³«µ¿°­(Ä¥¼­)
2016.01.11,,,,,,,215.0,0.0,0.0,0.0,215.0,,,,³«µ¿°­(Ä¥¼­)
2016.01.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.01.25,,,,,,,,,,,,,,,³«µ¿°­(Ä¥¼­)
2016.02.01,,,,,,,,,,,,,,,³«µ¿°­(Ä¥¼­)
2016.02.11,,,,,,,18.0,0.0,0.0,0.0,18.0,,,,³«µ¿°­(Ä¥¼­)
2016.02.15,,,,,,,42.0,0.0,0.0,0.0,42.0,,,,³«µ¿°­(Ä¥¼­)
2016.02.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.02.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.03.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.03.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.03.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.03.28,,,,,,,64.0,0.0,0.0,0.0,64.0,,,,³«µ¿°­(Ä¥¼­)
2016.04.04,14.3,8.1,11.5,1.3,2.3,16.1,87.0,0.0,0.0,0.0,87.0,,,,³«µ¿°­(Ä¥¼­)
2016.04.11,16.1,8.0,10.8,1.0,6.3,18.7,74.0,0.0,0.0,0.0,74.0,,,,³«µ¿°­(Ä¥¼­)
2016.04.18,16.8,7.6,9.6,0.4,22.0,17.3,45.0,0.0,0.0,0.0,45.0,,,,³«µ¿°­(Ä¥¼­)
2016.04.25,19.0,7.8,9.4,0.8,6.5,15.9,43.0,0.0,0.0,0.0,43.0,,,,³«µ¿°­(Ä¥¼­)
2016.05.02,20.1,7.9,10.4,0.6,7.4,23.2,63.0,0.0,0.0,0.0,63.0,,,,³«µ¿°­(Ä¥¼­)
2016.05.09,19.9,8.4,10.7,0.8,6.4,49.1,0.0,0.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.05.16,20.0,8.2,9.9,0.8,6.0,30.3,126.0,93.0,0.0,0.0,33.0,,,,³«µ¿°­(Ä¥¼­)
2016.05.23,24.5,8.9,9.7,1.1,4.9,29.7,2150.0,2150.0,0.0,0.0,0.0,,,,³«µ¿°­(Ä¥¼­)
2016.05.30,26.3,9.1,9.5,1.3,8.8,30.0,17980.0,17280.0,0.0,0.0,700.0,,,,³«µ¿°­(Ä¥¼­)
2016.06.07,24.6,8.4,8.9,0.9,7.5,30.1,8497.0,8000.0,0.0,0.0,497.0,,,,³«µ¿°­(Ä¥¼­)
2016.06.13,25.6,8.9,9.6,0.9,7.7,22.8,24980.0,14625.0,661.0,0.0,9694.0,,,,³«µ¿°­(Ä¥¼­)
2016.06.20,26.5,9.1,10.5,0.9,5.9,32.9,22825.0,7143.0,602.0,0.0,15080.0,,,,³«µ¿°­(Ä¥¼­)
2016.06.23,26.2,8.4,8.8,0.8,6.7,19.5,16884.0,16675.0,144.0,0.0,65.0,12,28.0,0.0,³«µ¿°­(Ä¥¼­)
2016.06.27,24.7,8.6,10.1,0.9,5.3,33.6,13283.0,12775.0,256.0,0.0,252.0,14,5.0,Á¤·®ÇÑ°è¹Ì¸¸,³«µ¿°­(Ä¥¼­)
2016.06.30,26.2,8.6,8.8,1.0,6.2,35.6,4610.0,4160.0,396.0,0.0,54.0,6,9.0,Á¤·®ÇÑ°è¹Ì¸¸,³«µ¿°­(Ä¥¼­)
2016.07.04,24.3,7.6,8.0,0.5,19.2,22.3,836.0,383.0,388.0,0.0,65.0,8,7.0,Á¤·®ÇÑ°è¹Ì¸¸,³«µ¿°­(Ä¥¼­)
