Á¶»çÀÏ,¼ö¿Â(¡É),pH,DO(§·/L),Åõ¸íµµ,Å¹µµ,Chl-a (§·/§©),À¯ÇØ³²Á¶·ù ¼¼Æ÷¼ö (cells/§¢),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,Áö¿À½º¹Î,2MIB,Microcystin-LR (¥ìg/L),ÁöÁ¡
2014.01.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.01.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.01.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.02.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.02.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.02.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.03.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.03.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.03.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.03.31,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.04.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.04.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.04.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.04.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.05.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.05.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.05.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.06.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.06.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.06.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.06.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.06.30,,,,,,,199.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.07.07,,,,,,,304.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.07.14,,,,,,,387.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.07.21,,,,,,,75.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.07.28,,,,,,,104.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.08.04,,,,,,,34.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.08.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.08.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,´öµ¿È£(´ï¾Õ)
2014.08.26,,,,,,,409.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.09.01,,,,,,,412.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.09.11,,,,,,,1075.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.09.15,,,,,,,1059.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.09.22,,,,,,,1107.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.09.29,,,,,,,1142.0,,,,,,,,´öµ¿È£(´ï¾Õ)
2014.10.06,,,,,,,392.0,,,,,,,,´öµ¿È£(´ï¾Õ)
