조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.01.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.01.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.01.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.01.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.02.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.02.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.02.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.02.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.03.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.03.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.03.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.03.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.04.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.04.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.04.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.04.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.04.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.05.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.05.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.05.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.06.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.06.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,사연호(취수탑)
2014.06.16,,,,,,,59.0,,,,,,,,사연호(취수탑)
2014.06.25,,,,,,,85.0,,,,,,,,사연호(취수탑)
2014.07.02,,,,,,,42.0,,,,,,,,사연호(취수탑)
2014.07.07,,,,,,,127.0,,,,,,,,사연호(취수탑)
2014.07.15,,,,,,,297.0,,,,,,,,사연호(취수탑)
