조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.01.06,,,,,,,970.0,,,,,,,,안계호(취수탑)
2014.01.13,,,,,,,1400.0,,,,,,,,안계호(취수탑)
2014.01.20,,,,,,,770.0,,,,,,,,안계호(취수탑)
2014.01.27,,,,,,,125.0,,,,,,,,안계호(취수탑)
2014.02.03,,,,,,,390.0,,,,,,,,안계호(취수탑)
2014.02.10,,,,,,,210.0,,,,,,,,안계호(취수탑)
2014.02.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.02.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.03.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.03.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.03.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.03.31,,,,,,,640.0,,,,,,,,안계호(취수탑)
2014.04.07,,,,,,,170.0,,,,,,,,안계호(취수탑)
2014.04.14,,,,,,,310.0,,,,,,,,안계호(취수탑)
2014.04.21,,,,,,,260.0,,,,,,,,안계호(취수탑)
2014.04.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.05.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.05.19,,,,,,,70.0,,,,,,,,안계호(취수탑)
2014.05.26,,,,,,,315.0,,,,,,,,안계호(취수탑)
2014.06.02,,,,,,,90.0,,,,,,,,안계호(취수탑)
2014.06.09,,,,,,,410.0,,,,,,,,안계호(취수탑)
2014.06.16,,,,,,,785.0,,,,,,,,안계호(취수탑)
2014.06.23,,,,,,,990.0,,,,,,,,안계호(취수탑)
2014.06.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.07.07,,,,,,,672.0,,,,,,,,안계호(취수탑)
2014.07.14,,,,,,,800.0,,,,,,,,안계호(취수탑)
2014.07.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.07.28,,,,,,,2072.0,,,,,,,,안계호(취수탑)
2014.08.04,,,,,,,6017.0,,,,,,,,안계호(취수탑)
2014.08.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.08.19,,,,,,,566.0,,,,,,,,안계호(취수탑)
2014.08.25,,,,,,,891.0,,,,,,,,안계호(취수탑)
2014.09.01,,,,,,,3425.0,,,,,,,,안계호(취수탑)
2014.09.11,,,,,,,1521.0,,,,,,,,안계호(취수탑)
2014.09.15,,,,,,,508.0,,,,,,,,안계호(취수탑)
2014.09.22,,,,,,,447.0,,,,,,,,안계호(취수탑)
2014.09.29,,,,,,,1410.0,,,,,,,,안계호(취수탑)
2014.10.06,,,,,,,857.0,,,,,,,,안계호(취수탑)
2014.10.13,,,,,,,805.0,,,,,,,,안계호(취수탑)
2014.10.20,,,,,,,678.0,,,,,,,,안계호(취수탑)
2014.10.27,,,,,,,142.0,,,,,,,,안계호(취수탑)
2014.11.03,,,,,,,245.0,,,,,,,,안계호(취수탑)
2014.11.10,,,,,,,370.0,,,,,,,,안계호(취수탑)
2014.11.17,,,,,,,132.0,,,,,,,,안계호(취수탑)
2014.11.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.12.01,,,,,,,297.0,,,,,,,,안계호(취수탑)
2014.12.08,,,,,,,46.0,,,,,,,,안계호(취수탑)
2014.12.15,,,,,,,46.0,,,,,,,,안계호(취수탑)
2014.12.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2014.12.29,,,,,,,290.0,,,,,,,,안계호(취수탑)
2015.01.05,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.01.12,,,,,,,132.0,0.0,0.0,0.0,132.0,,,,안계호(취수탑)
2015.01.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.01.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.02.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.02.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.02.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.02.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.03.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.03.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.03.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.03.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.03.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.04.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.04.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.04.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.04.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.05.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.05.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.05.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.05.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.06.01,,,,,,,426.0,0.0,426.0,0.0,0.0,,,,안계호(취수탑)
2015.06.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.06.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.06.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.06.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.07.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.07.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.07.20,,,,,,,429.0,0.0,0.0,0.0,429.0,,,,안계호(취수탑)
2015.07.27,,,,,,,594.0,0.0,0.0,0.0,594.0,,,,안계호(취수탑)
2015.08.03,,,,,,,79.0,79.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.08.10,,,,,,,921.0,921.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.08.17,,,,,,,1149.0,1010.0,33.0,0.0,106.0,,,,안계호(취수탑)
2015.08.24,,,,,,,2231.0,1987.0,244.0,0.0,0.0,,,,안계호(취수탑)
2015.08.31,,,,,,,746.0,594.0,152.0,0.0,0.0,,,,안계호(취수탑)
2015.09.07,,,,,,,350.0,0.0,350.0,0.0,0.0,,,,안계호(취수탑)
2015.09.14,,,,,,,2280.0,2280.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.09.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.09.30,,,,,,,59.0,0.0,0.0,59.0,0.0,,,,안계호(취수탑)
2015.10.05,,,,,,,53.0,0.0,0.0,0.0,53.0,,,,안계호(취수탑)
2015.10.12,,,,,,,337.0,0.0,0.0,40.0,297.0,,,,안계호(취수탑)
2015.10.19,,,,,,,119.0,0.0,0.0,0.0,119.0,,,,안계호(취수탑)
2015.10.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.11.02,,,,,,,59.0,59.0,0.0,0.0,0.0,,,,안계호(취수탑)
2015.11.09,,,,,,,26.0,0.0,0.0,0.0,26.0,,,,안계호(취수탑)
2015.11.16,,,,,,,92.0,0.0,0.0,0.0,92.0,,,,안계호(취수탑)
2015.11.23,,,,,,,290.0,0.0,0.0,0.0,290.0,,,,안계호(취수탑)
2015.11.30,,,,,,,284.0,0.0,0.0,0.0,284.0,,,,안계호(취수탑)
