조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.01.06,,,,,,,410.0,,,,,,,,영천호(취수탑)
2014.01.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.01.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.01.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.02.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.02.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.02.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.02.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.03.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.03.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.03.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.03.31,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.04.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.04.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.04.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.04.28,,,,,,,120.0,,,,,,,,영천호(취수탑)
2014.05.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.05.12,,,,,,,150.0,,,,,,,,영천호(취수탑)
2014.05.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.05.26,,,,,,,115.0,,,,,,,,영천호(취수탑)
2014.06.02,,,,,,,80.0,,,,,,,,영천호(취수탑)
2014.06.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.06.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.06.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.06.30,,,,,,,399.0,,,,,,,,영천호(취수탑)
2014.07.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.07.14,,,,,,,110.0,,,,,,,,영천호(취수탑)
2014.07.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.07.28,,,,,,,61.0,,,,,,,,영천호(취수탑)
2014.08.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.08.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,영천호(취수탑)
2014.08.19,,,,,,,414.0,,,,,,,,영천호(취수탑)
2014.08.25,,,,,,,2119.0,,,,,,,,영천호(취수탑)
2014.09.01,,,,,,,478.0,,,,,,,,영천호(취수탑)
