조사일,수온(℃),pH,DO(㎎/L),투명도,탁도,Chl-a (㎎/㎥),유해남조류 세포수 (cells/㎖),Microcystis,Anabaena,Oscillatoria,Aphanizomenon,지오스민,2MIB,Microcystin-LR (μg/L),지점
2014.01.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.01.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.02.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.02.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.02.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.02.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.03.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.03.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.03.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.03.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.04.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.04.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.04.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.04.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.05.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.05.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.05.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.05.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.05.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.06.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.06.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.06.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.06.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.07.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.07.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.07.25,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.08.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.08.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.08.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.08.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.08.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.09.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.09.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.09.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.09.25,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.10.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.10.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.10.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.11.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.11.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.12.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.12.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.12.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2014.12.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.01.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.01.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.01.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.01.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.01.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.02.05,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.02.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.02.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.02.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.03.05,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.03.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.03.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.03.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.03.31,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.04.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.04.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.04.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.04.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.05.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.05.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.05.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.05.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.06.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.06.08,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.06.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.06.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.06.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.07.06,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.07.13,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.07.20,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.07.27,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.08.03,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.08.10,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.08.17,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.08.24,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.09.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.09.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.09.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.09.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.09.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.10.05,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.10.12,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.10.19,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.10.26,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.11.02,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.11.09,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.11.16,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.11.23,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.11.30,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.12.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.12.14,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.12.21,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2015.12.28,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.01.04,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.01.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.01.18,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.01.25,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.02.01,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.02.11,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.02.15,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.02.22,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.02.29,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
2016.03.07,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,진전지(상류)
